instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWavePegasus_4_dense_9.h5,262,-168.62773,-168.62773,0.0,0.001886498,0.002041082
randomIsingDWavePegasus_5_dense_1.h5,446,-275.86176,-276.19955,0.12230254,0.001927291,0.004167977
randomIsingDWavePegasus_5_dense_10.h5,447,-275.14697,-275.28528,0.05024085,0.001924635,0.004124215
randomIsingDWavePegasus_5_dense_11.h5,447,-278.3685,-278.613,0.087758586,0.001908728,0.004335751
randomIsingDWavePegasus_5_dense_12.h5,447,-293.2187,-293.40576,0.06375906,0.001911128,0.004335234
randomIsingDWavePegasus_5_dense_13.h5,447,-290.88306,-290.88306,0.0,0.00191953,0.004329744
randomIsingDWavePegasus_5_dense_14.h5,447,-296.0898,-296.08978,-1.0306867e-5,0.001954553,0.004338658
randomIsingDWavePegasus_5_dense_15.h5,447,-291.88257,-292.1285,0.08418937,0.001981598,0.004334659
randomIsingDWavePegasus_5_dense_16.h5,446,-284.4977,-284.63672,0.04883684,0.001913274,0.00433163
randomIsingDWavePegasus_5_dense_17.h5,446,-283.27692,-283.30298,0.009199343,0.001906157,0.004351282
randomIsingDWavePegasus_5_dense_18.h5,446,-290.37408,-290.45517,0.027916597,0.001945228,0.004361169
randomIsingDWavePegasus_5_dense_19.h5,446,-285.0318,-285.04163,0.0034474472,0.001924431,0.004327205
randomIsingDWavePegasus_5_dense_2.h5,446,-284.22626,-284.33566,0.038477592,0.001920848,0.004312283
randomIsingDWavePegasus_5_dense_20.h5,446,-290.3175,-290.31747,-1.0511795e-5,0.001892211,0.004315008
randomIsingDWavePegasus_5_dense_3.h5,446,-274.11603,-274.27982,0.0597156,0.018758471,0.004337926
randomIsingDWavePegasus_5_dense_4.h5,446,-278.9446,-279.04172,0.03480015,0.001909867,0.004103071
randomIsingDWavePegasus_5_dense_5.h5,446,-279.90558,-280.00037,0.03385267,0.00188953,0.004059795
randomIsingDWavePegasus_5_dense_6.h5,446,-291.7359,-291.77023,0.011766887,0.001888294,0.004044758
randomIsingDWavePegasus_5_dense_7.h5,447,-274.2768,-274.3446,0.02471711,0.001895767,0.00431651
randomIsingDWavePegasus_5_dense_8.h5,447,-289.5781,-289.77545,0.068106934,0.001885127,0.004324116
randomIsingDWavePegasus_5_dense_9.h5,447,-281.866,-281.95615,0.031972677,0.001879231,0.004306909
randomIsingDWavePegasus_6_dense_1.h5,678,-444.01666,-444.31253,0.06659005,0.002450139,0.009121659
randomIsingDWavePegasus_6_dense_10.h5,678,-411.5177,-411.9536,0.10581606,0.002383061,0.009039782
randomIsingDWavePegasus_6_dense_11.h5,678,-432.09747,-432.99902,0.20821069,0.002414098,0.009048564
randomIsingDWavePegasus_6_dense_12.h5,678,-449.89526,-450.1723,0.061540563,0.007917428,0.009103881
randomIsingDWavePegasus_6_dense_13.h5,678,-446.91684,-447.10138,0.041274708,0.002603237,0.009038345
randomIsingDWavePegasus_6_dense_14.h5,678,-417.5585,-417.99622,0.10471713,0.002451591,0.008891046
randomIsingDWavePegasus_6_dense_15.h5,678,-442.81912,-443.20886,0.08793597,0.002458697,0.009022251
randomIsingDWavePegasus_6_dense_16.h5,678,-443.1399,-443.19598,0.012656096,0.002517288,0.009040364
randomIsingDWavePegasus_6_dense_17.h5,678,-429.6631,-429.76004,0.022560112,0.002458311,0.009011931
