instance,time[ns]
randomQuboDWavePegasus_7_dense_20.txt,10169196
randomQuboDWavePegasus_8_dense_1.txt,12380744
randomQuboDWavePegasus_8_dense_2.txt,12426103
randomQuboDWavePegasus_8_dense_3.txt,12688766
randomQuboDWavePegasus_8_dense_4.txt,12677292
randomQuboDWavePegasus_8_dense_5.txt,12426077
randomQuboDWavePegasus_8_dense_6.txt,12762303
randomQuboDWavePegasus_8_dense_7.txt,12811701
randomQuboDWavePegasus_8_dense_8.txt,12821114
randomQuboDWavePegasus_8_dense_9.txt,12451707
randomQuboDWavePegasus_8_dense_10.txt,12945515
randomQuboDWavePegasus_8_dense_11.txt,12427814
randomQuboDWavePegasus_8_dense_12.txt,12912241
randomQuboDWavePegasus_8_dense_13.txt,12523596
randomQuboDWavePegasus_8_dense_14.txt,12548330
randomQuboDWavePegasus_8_dense_15.txt,12528912
randomQuboDWavePegasus_8_dense_16.txt,12703221
randomQuboDWavePegasus_8_dense_17.txt,12665097
randomQuboDWavePegasus_8_dense_18.txt,12668201
randomQuboDWavePegasus_8_dense_19.txt,12345447
randomQuboDWavePegasus_8_dense_20.txt,12521305
randomQuboDWavePegasus_9_dense_1.txt,16006951
randomQuboDWavePegasus_9_dense_2.txt,15477462
randomQuboDWavePegasus_9_dense_3.txt,16136621
randomQuboDWavePegasus_9_dense_4.txt,16364412
randomQuboDWavePegasus_9_dense_5.txt,15583225
randomQuboDWavePegasus_9_dense_6.txt,16050911
randomQuboDWavePegasus_9_dense_7.txt,15334929
randomQuboDWavePegasus_9_dense_8.txt,16101530
randomQuboDWavePegasus_9_dense_9.txt,16071743
randomQuboDWavePegasus_9_dense_10.txt,16057933
randomQuboDWavePegasus_9_dense_11.txt,16336855
randomQuboDWavePegasus_9_dense_12.txt,15820872
randomQuboDWavePegasus_9_dense_13.txt,16084991
randomQuboDWavePegasus_9_dense_14.txt,15761487
randomQuboDWavePegasus_9_dense_15.txt,15743222
randomQuboDWavePegasus_9_dense_16.txt,16239376
randomQuboDWavePegasus_9_dense_17.txt,15202037
randomQuboDWavePegasus_9_dense_18.txt,15749321
randomQuboDWavePegasus_9_dense_19.txt,15449086
randomQuboDWavePegasus_9_dense_20.txt,15799790
randomQuboDWavePegasus_10_dense_1.txt,19405791
randomQuboDWavePegasus_10_dense_2.txt,19494006
randomQuboDWavePegasus_10_dense_3.txt,20035487
randomQuboDWavePegasus_10_dense_4.txt,19668604
randomQuboDWavePegasus_10_dense_5.txt,20336976
randomQuboDWavePegasus_10_dense_6.txt,19423487
randomQuboDWavePegasus_10_dense_7.txt,19544713
randomQuboDWavePegasus_10_dense_8.txt,19907109
randomQuboDWavePegasus_10_dense_9.txt,19639897
randomQuboDWavePegasus_10_dense_10.txt,20204316
randomQuboDWavePegasus_10_dense_11.txt,20389162
randomQuboDWavePegasus_10_dense_12.txt,19712938
randomQuboDWavePegasus_10_dense_13.txt,19815826
randomQuboDWavePegasus_10_dense_14.txt,19718467
randomQuboDWavePegasus_10_dense_15.txt,20550324
randomQuboDWavePegasus_10_dense_16.txt,19750753
randomQuboDWavePegasus_10_dense_17.txt,19222079
randomQuboDWavePegasus_10_dense_18.txt,19729369
randomQuboDWavePegasus_10_dense_19.txt,19552251
randomQuboDWavePegasus_10_dense_20.txt,19602217
randomQuboDWavePegasus_11_dense_1.txt,23880568
randomQuboDWavePegasus_11_dense_2.txt,25205467
randomQuboDWavePegasus_11_dense_3.txt,24766619
randomQuboDWavePegasus_11_dense_4.txt,23877436
randomQuboDWavePegasus_11_dense_5.txt,24219790
randomQuboDWavePegasus_11_dense_6.txt,23719277
randomQuboDWavePegasus_11_dense_7.txt,24031110
randomQuboDWavePegasus_11_dense_8.txt,24696968
randomQuboDWavePegasus_11_dense_9.txt,24700100
randomQuboDWavePegasus_11_dense_10.txt,24736108
randomQuboDWavePegasus_11_dense_11.txt,23932738
randomQuboDWavePegasus_11_dense_12.txt,24481655
randomQuboDWavePegasus_11_dense_13.txt,24370923
randomQuboDWavePegasus_11_dense_14.txt,24483810
randomQuboDWavePegasus_11_dense_15.txt,23970191
randomQuboDWavePegasus_11_dense_16.txt,23537798
randomQuboDWavePegasus_11_dense_17.txt,24365637
randomQuboDWavePegasus_11_dense_18.txt,24578810
randomQuboDWavePegasus_11_dense_19.txt,24267185
randomQuboDWavePegasus_11_dense_20.txt,23931405
randomQuboDWavePegasus_12_dense_1.txt,28911350
randomQuboDWavePegasus_12_dense_2.txt,30417535
randomQuboDWavePegasus_12_dense_3.txt,29454191
randomQuboDWavePegasus_12_dense_4.txt,29833981
randomQuboDWavePegasus_12_dense_5.txt,31214392
randomQuboDWavePegasus_12_dense_6.txt,29670160
randomQuboDWavePegasus_12_dense_7.txt,29519577
randomQuboDWavePegasus_12_dense_8.txt,29644531
randomQuboDWavePegasus_12_dense_9.txt,30084335
randomQuboDWavePegasus_12_dense_10.txt,29963477
randomQuboDWavePegasus_12_dense_11.txt,31212582
randomQuboDWavePegasus_12_dense_12.txt,28844252
randomQuboDWavePegasus_12_dense_13.txt,29391442
randomQuboDWavePegasus_12_dense_14.txt,30528606
randomQuboDWavePegasus_12_dense_15.txt,30420524
randomQuboDWavePegasus_12_dense_16.txt,29779775
randomQuboDWavePegasus_12_dense_17.txt,30592383
randomQuboDWavePegasus_12_dense_18.txt,29066521
randomQuboDWavePegasus_12_dense_19.txt,31265864
randomQuboDWavePegasus_12_dense_20.txt,28838658
randomQuboDWavePegasus_13_dense_1.txt,34471944
randomQuboDWavePegasus_13_dense_2.txt,35196160
randomQuboDWavePegasus_13_dense_3.txt,36690936
randomQuboDWavePegasus_13_dense_4.txt,35670201
randomQuboDWavePegasus_13_dense_5.txt,35438077
randomQuboDWavePegasus_13_dense_6.txt,35779670
randomQuboDWavePegasus_13_dense_7.txt,35713067
randomQuboDWavePegasus_13_dense_8.txt,35084964
randomQuboDWavePegasus_13_dense_9.txt,37219654
randomQuboDWavePegasus_13_dense_10.txt,36064708
randomQuboDWavePegasus_13_dense_11.txt,35691496
randomQuboDWavePegasus_13_dense_12.txt,37449367
randomQuboDWavePegasus_13_dense_13.txt,35151047
randomQuboDWavePegasus_13_dense_14.txt,35300860
randomQuboDWavePegasus_13_dense_15.txt,36439715
randomQuboDWavePegasus_13_dense_16.txt,35337796
randomQuboDWavePegasus_13_dense_17.txt,35589439
randomQuboDWavePegasus_13_dense_18.txt,35429290
randomQuboDWavePegasus_13_dense_19.txt,34616738
randomQuboDWavePegasus_13_dense_20.txt,34521180
randomQuboDWavePegasus_14_dense_1.txt,41183992
randomQuboDWavePegasus_14_dense_2.txt,42289537
randomQuboDWavePegasus_14_dense_3.txt,42091123
randomQuboDWavePegasus_14_dense_4.txt,41581982
randomQuboDWavePegasus_14_dense_5.txt,42703855
randomQuboDWavePegasus_14_dense_6.txt,41619866
randomQuboDWavePegasus_14_dense_7.txt,43464895
randomQuboDWavePegasus_14_dense_8.txt,42089772
randomQuboDWavePegasus_14_dense_9.txt,43503726
randomQuboDWavePegasus_14_dense_10.txt,45135214
randomQuboDWavePegasus_14_dense_11.txt,41014061
randomQuboDWavePegasus_14_dense_12.txt,42361011
randomQuboDWavePegasus_14_dense_13.txt,41100700
randomQuboDWavePegasus_14_dense_14.txt,41785439
randomQuboDWavePegasus_14_dense_15.txt,41682258
randomQuboDWavePegasus_14_dense_16.txt,41621473
randomQuboDWavePegasus_14_dense_17.txt,43074634
randomQuboDWavePegasus_14_dense_18.txt,41693456
randomQuboDWavePegasus_14_dense_19.txt,40121722
randomQuboDWavePegasus_14_dense_20.txt,41133962
randomQuboDWavePegasus_15_dense_1.txt,46986294
randomQuboDWavePegasus_15_dense_2.txt,50278523
randomQuboDWavePegasus_15_dense_3.txt,51136836
randomQuboDWavePegasus_15_dense_4.txt,49273390
randomQuboDWavePegasus_15_dense_5.txt,48466973
randomQuboDWavePegasus_15_dense_6.txt,49607565
randomQuboDWavePegasus_15_dense_7.txt,48755223
randomQuboDWavePegasus_15_dense_8.txt,48238706
randomQuboDWavePegasus_15_dense_9.txt,47692062
randomQuboDWavePegasus_15_dense_10.txt,48574979
randomQuboDWavePegasus_15_dense_11.txt,49623292
randomQuboDWavePegasus_15_dense_12.txt,51722387
randomQuboDWavePegasus_15_dense_13.txt,50476527
randomQuboDWavePegasus_15_dense_14.txt,50583382
randomQuboDWavePegasus_15_dense_15.txt,53582206
randomQuboDWavePegasus_15_dense_16.txt,47902715
randomQuboDWavePegasus_15_dense_17.txt,47525850
randomQuboDWavePegasus_15_dense_18.txt,48459976
randomQuboDWavePegasus_15_dense_19.txt,48851654
randomQuboDWavePegasus_15_dense_20.txt,47782699
randomQuboDWavePegasus_16_dense_1.txt,55058707
randomQuboDWavePegasus_16_dense_2.txt,57178901
randomQuboDWavePegasus_16_dense_3.txt,56307129
randomQuboDWavePegasus_16_dense_4.txt,56025340
randomQuboDWavePegasus_16_dense_5.txt,59192963
randomQuboDWavePegasus_16_dense_6.txt,57291214
randomQuboDWavePegasus_16_dense_7.txt,57108054
randomQuboDWavePegasus_16_dense_8.txt,56227580
randomQuboDWavePegasus_16_dense_9.txt,56846786
randomQuboDWavePegasus_16_dense_10.txt,57207319
randomQuboDWavePegasus_16_dense_11.txt,55990636
randomQuboDWavePegasus_16_dense_12.txt,57519704
randomQuboDWavePegasus_16_dense_13.txt,56301523
randomQuboDWavePegasus_16_dense_14.txt,56150300
randomQuboDWavePegasus_16_dense_15.txt,56205805
randomQuboDWavePegasus_16_dense_16.txt,55843473
randomQuboDWavePegasus_16_dense_17.txt,53592038
randomQuboDWavePegasus_16_dense_18.txt,55350548
randomQuboDWavePegasus_16_dense_19.txt,54703532
randomQuboDWavePegasus_16_dense_20.txt,54936315
