instance	dwave_energy	cplex_energy	gap	num_var
randomQuboDWaveClique_L=80_dense_15	-105.31605289858591	-123.01620859952442	14.388474415238106	708
randomQuboDWaveClique_L=80_dense_16	-116.16658732196983	-133.84836627929357	13.210306146306042	708
randomQuboDWaveClique_L=80_dense_17	-98.78450632970335	-118.1413195813163	16.384456615358623	708
randomQuboDWaveClique_L=80_dense_18	-113.68695756416778	-129.52686841510584	12.229054129660987	708
randomQuboDWaveClique_L=80_dense_19	-97.91268012653228	-119.48988840362594	18.057769209899853	708
randomQuboDWaveClique_L=80_dense_2	-107.27666873638955	-120.82252790634163	11.211368777561471	708
randomQuboDWaveClique_L=80_dense_20	-135.45756785393402	-143.04029071798305	5.301109796399295	708
randomQuboDWaveClique_L=80_dense_3	-114.06186428858389	-129.4406142058589	11.880930889911463	708
randomQuboDWaveClique_L=80_dense_4	-86.06964076607466	-103.24784026673224	16.637829378589547	708
randomQuboDWaveClique_L=80_dense_5	-93.41558345448955	-111.07195445162058	15.896335924134286	708
randomQuboDWaveClique_L=80_dense_6	-105.93580614301031	-120.1576669659521	11.83599946807531	708
randomQuboDWaveClique_L=80_dense_7	-92.73552134614765	-111.91645654139218	17.138619098568835	708
randomQuboDWaveClique_L=80_dense_8	-97.65228489767385	-116.81048786349369	16.40109832278791	708
randomQuboDWaveClique_L=80_dense_9	-107.19460709459098	-121.30588690210604	11.632807086191024	708
randomQuboDWaveClique_L=100_dense_1	-140.31330807981792	-168.70119215141335	16.82731681357452	982
randomQuboDWaveClique_L=100_dense_10	-159.5152389113706	-183.53952593339469	13.08943504122504	982
randomQuboDWaveClique_L=100_dense_11	-143.47553670954943	-171.98696118281717	16.57766628189966	982
randomQuboDWaveClique_L=100_dense_12	-138.75276626193127	-164.1297035605033	15.461514124539494	982
randomQuboDWaveClique_L=100_dense_13	-140.0238868103706	-166.793290666202	16.049448841083265	982
randomQuboDWaveClique_L=100_dense_14	-107.96241478640005	-145.10102484883816	25.595001896870123	982
randomQuboDWaveClique_L=100_dense_15	-154.06555997653962	-169.2296062147657	8.960634357904091	982
randomQuboDWaveClique_L=100_dense_16	-141.13471163246035	-162.75285205826916	13.282802821832595	982
randomQuboDWaveClique_L=100_dense_17	-168.46728744392848	-187.89427786063143	10.33931987599575	982
randomQuboDWaveClique_L=100_dense_18	-136.25515157999126	-160.05384287534633	14.869178313881564	982
randomQuboDWaveClique_L=100_dense_19	-131.80413978122473	-159.52582325342505	17.37755236540058	982
randomQuboDWaveClique_L=100_dense_2	-154.42320533194294	-178.8978633841438	13.68079952953206	982
randomQuboDWaveClique_L=100_dense_20	-146.05460441430444	-176.74283218708806	17.363209241944887	982
randomQuboDWaveClique_L=100_dense_3	-148.16583344516917	-175.26909449800718	15.463799325525798	982
randomQuboDWaveClique_L=100_dense_4	-141.56667786746172	-168.68700329778528	16.077305838700397	982
randomQuboDWaveClique_L=100_dense_5	-139.2536935022544	-167.36088075279122	16.79435906653356	982
randomQuboDWaveClique_L=100_dense_6	-152.2774118685879	-173.35655189598498	12.159413530585617	982
randomQuboDWaveClique_L=100_dense_7	-122.0732207319663	-147.63830810540532	17.316025699229094	982
randomQuboDWaveClique_L=100_dense_8	-131.6714589752339	-161.01387582819544	18.223533035295922	982
randomQuboDWaveClique_L=100_dense_9	-136.2621123270258	-161.9810853538797	15.877763117011925	982
randomQuboDWaveClique_L=120_dense_1	-158.35837123110497	-196.07424452564888	19.23550611442505	1418
randomQuboDWaveClique_L=120_dense_10	-185.8286701451114	-229.25729405171424	18.94318088601644	1418
randomQuboDWaveClique_L=120_dense_11	-197.30464224146758	-236.1048346524785	16.433459513067884	1418
randomQuboDWaveClique_L=120_dense_12	-147.3826649188245	-196.98977324305295	25.18258055103269	1418
randomQuboDWaveClique_L=120_dense_13	-190.87789808235246	-232.08093632764763	17.753736647772516	1418
randomQuboDWaveClique_L=120_dense_14	-187.33893782022704	-219.22228079656475	14.543842377921889	1418
randomQuboDWaveClique_L=120_dense_15	-176.64768934671696	-218.90263262142193	19.303076792037572	1418
randomQuboDWaveClique_L=120_dense_16	-193.28195669956148	-229.84842653094037	15.908949381672885	1418
randomQuboDWaveClique_L=120_dense_17	-207.58632842381078	-249.27746045069244	16.72479009995701	1418
randomQuboDWaveClique_L=120_dense_18	-164.54393951950445	-211.4628088785182	22.18776417841297	1418
randomQuboDWaveClique_L=120_dense_19	-221.5902045699445	-257.4443230640497	13.926940810881671	1418
randomQuboDWaveClique_L=120_dense_2	-183.760448881588	-233.29272254385248	21.231812600992647	1418
randomQuboDWaveClique_L=120_dense_20	-172.48590241892938	-211.61066317154976	18.4890308296527	1418
randomQuboDWaveClique_L=120_dense_3	-177.50522539637336	-219.0899976492956	18.98068040490298	1418
randomQuboDWaveClique_L=120_dense_4	-212.34303467977372	-242.28346720713415	12.357604450890415	1418
randomQuboDWaveClique_L=120_dense_5	-208.17758799134032	-244.12250025244467	14.724129166272698	1418
randomQuboDWaveClique_L=120_dense_6	-193.82691542662008	-232.3321234548426	16.573346576288923	1418
randomQuboDWaveClique_L=120_dense_7	-186.78665233022053	-232.60619761156573	19.698333815619254	1418
randomQuboDWaveClique_L=120_dense_9	-200.9087379477143	-244.8591532504867	17.949263778516748	1418
randomQuboDWaveClique_L=140_dense_1	-208.58093406894457	-279.689985127225	25.42423927904835	1938
randomQuboDWaveClique_L=140_dense_10	-205.82818342391823	-274.7210420728975	25.077386911883682	1938
randomQuboDWaveClique_L=140_dense_11	-236.5701423546567	-300.2551916534463	21.21030745483152	1938
randomQuboDWaveClique_L=140_dense_12	-234.7870996184464	-291.0963674991889	19.343857968581275	1938
randomQuboDWaveClique_L=140_dense_13	-250.84976997026814	-308.5951741718636	18.712348421053324	1938
randomQuboDWaveClique_L=140_dense_14	-224.86679368475546	-292.4484753763496	23.108919136823616	1938
randomQuboDWaveClique_L=140_dense_15	-196.48008730463087	-265.77876569485903	26.0738205360582	1938
randomQuboDWaveClique_L=140_dense_16	-226.93200282374994	-284.92145757662416	20.352786078696468	1938
randomQuboDWaveClique_L=140_dense_17	-200.4703255742009	-254.09250526075198	21.10340863124771	1938
randomQuboDWaveClique_L=140_dense_18	-256.1889752348544	-304.29566477330764	15.809193198428067	1938
randomQuboDWaveClique_L=140_dense_19	-211.58448411566744	-265.68823282303094	20.363622480563834	1938
randomQuboDWaveClique_L=140_dense_2	-231.81049905326944	-304.6631858306902	23.912533632437967	1938
randomQuboDWaveClique_L=140_dense_20	-221.00248417399243	-286.7682574258409	22.933421516799392	1938
randomQuboDWaveClique_L=140_dense_3	-241.5560473404896	-313.2124340507961	22.877886993044925	1938
randomQuboDWaveClique_L=140_dense_4	-245.7122199209854	-305.98068213353673	19.696819352225916	1938
randomQuboDWaveClique_L=140_dense_5	-224.9556709803839	-284.72737907212087	20.992609943772536	1938
randomQuboDWaveClique_L=140_dense_6	-206.61369162703414	-269.77625267537337	23.41294328983948	1938
randomQuboDWaveClique_L=140_dense_7	-214.82436769428787	-276.38424354156115	22.273294258185974	1938
randomQuboDWaveClique_L=140_dense_8	-233.62698449429055	-287.88010707452577	18.845735167866355	1938
randomQuboDWaveClique_L=140_dense_9	-216.8901310156572	-286.5270456887413	24.303784135174354	1938
