instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomQuboDWaveClique_L=60_dense_7.h5,60,-80.52704,-80.52704,0.0,0.033966753,0.003515803
randomQuboDWaveClique_L=60_dense_8.h5,60,-88.20216,-88.202156,-8.649896e-6,0.034414734,0.002300347
randomQuboDWaveClique_L=60_dense_9.h5,60,-88.501724,-88.501724,0.0,0.03436515,0.002469304
randomQuboDWaveClique_L=80_dense_1.h5,80,-123.00696,-123.00695,-6.202409e-6,0.034527096,0.051512122
randomQuboDWaveClique_L=80_dense_10.h5,80,-121.186966,-121.186966,0.0,0.034770149,0.002370745
randomQuboDWaveClique_L=80_dense_11.h5,80,-127.35141,-127.35142,5.9908202e-6,0.034862084,0.002480883
randomQuboDWaveClique_L=80_dense_12.h5,80,-146.44583,-146.44585,1.0419407e-5,0.034684958,0.002362648
randomQuboDWaveClique_L=80_dense_13.h5,80,-125.56154,-125.56154,0.0,0.034840137,0.002976262
randomQuboDWaveClique_L=80_dense_14.h5,80,-131.30226,-131.30226,0.0,0.117395783,0.002328745
randomQuboDWaveClique_L=80_dense_15.h5,80,-123.01621,-123.016205,-6.2019426e-6,0.033550504,0.002761693
randomQuboDWaveClique_L=80_dense_16.h5,80,-133.84837,-133.84837,0.0,0.033959996,0.002825742
randomQuboDWaveClique_L=80_dense_17.h5,80,-118.14132,-118.14132,0.0,0.034258145,0.002658598
randomQuboDWaveClique_L=80_dense_18.h5,80,-129.52687,-129.52687,0.0,0.033341077,0.002763213
randomQuboDWaveClique_L=80_dense_19.h5,80,-119.48988,-119.48989,6.38497e-6,0.033476826,0.002779727
randomQuboDWaveClique_L=80_dense_2.h5,80,-120.822525,-120.822525,0.0,0.033958413,0.002780636
randomQuboDWaveClique_L=80_dense_20.h5,80,-143.04028,-143.04028,0.0,0.03397125,0.00268347
randomQuboDWaveClique_L=80_dense_3.h5,80,-129.44061,-129.44061,0.0,0.033602134,0.002629953
randomQuboDWaveClique_L=80_dense_4.h5,80,-103.24784,-103.24784,0.0,0.034087095,0.002365459
randomQuboDWaveClique_L=80_dense_5.h5,80,-111.07196,-111.07195,-6.8688755e-6,0.034333331,0.002365093
randomQuboDWaveClique_L=80_dense_6.h5,80,-120.15767,-120.15767,0.0,0.034227645,0.002307455
randomQuboDWaveClique_L=80_dense_7.h5,80,-111.91645,-111.91646,6.8170443e-6,0.033608293,0.002646017
randomQuboDWaveClique_L=80_dense_8.h5,80,-116.810486,-116.810486,0.0,0.034996326,0.002691095
randomQuboDWaveClique_L=80_dense_9.h5,80,-121.305885,-121.305885,0.0,0.039108007,0.002751837
randomQuboDWaveClique_L=100_dense_1.h5,100,-168.7012,-168.70119,-9.044861e-6,0.052554289,0.051704838
randomQuboDWaveClique_L=100_dense_10.h5,100,-183.53954,-183.53952,-8.313626e-6,0.03808539,0.003090682
randomQuboDWaveClique_L=100_dense_11.h5,100,-171.98697,-171.98695,-8.872062e-6,0.034861234,0.002937538
randomQuboDWaveClique_L=100_dense_12.h5,100,-164.1297,-164.1297,0.0,0.034901147,0.002655501
randomQuboDWaveClique_L=100_dense_13.h5,100,-166.79329,-166.79329,0.0,0.12396023,0.003302476
randomQuboDWaveClique_L=100_dense_14.h5,100,-145.10103,-145.10103,0.0,0.035644999,0.051194918
randomQuboDWaveClique_L=100_dense_15.h5,100,-169.2296,-169.2296,0.0,0.035889331,0.002760142
randomQuboDWaveClique_L=100_dense_16.h5,100,-162.75285,-162.75285,0.0,0.036409663,0.003442361
randomQuboDWaveClique_L=100_dense_17.h5,100,-187.89429,-187.89427,-8.120945e-6,0.036761616,0.002722586
randomQuboDWaveClique_L=100_dense_18.h5,100,-160.05383,-160.05385,9.5335345e-6,0.036463459,0.00333125
randomQuboDWaveClique_L=100_dense_19.h5,100,-159.52583,-159.52582,-9.56509e-6,0.036049042,0.009157416
randomQuboDWaveClique_L=100_dense_2.h5,100,-178.89787,-178.89786,-8.52933e-6,0.034401571,0.002705345
randomQuboDWaveClique_L=100_dense_20.h5,100,-176.74283,-176.74283,0.0,0.034322961,0.003381252
randomQuboDWaveClique_L=100_dense_3.h5,100,-175.2691,-175.26909,-8.705922e-6,0.036337905,0.029228755
randomQuboDWaveClique_L=100_dense_4.h5,100,-168.687,-168.687,0.0,0.035805556,0.002675385
randomQuboDWaveClique_L=100_dense_5.h5,100,-167.36087,-167.36089,9.117297e-6,0.037360385,0.003375676
randomQuboDWaveClique_L=100_dense_6.h5,100,-173.35657,-173.35655,-8.801968e-6,0.034724596,0.003389923
randomQuboDWaveClique_L=100_dense_7.h5,100,-147.6383,-147.6383,0.0,0.034551526,0.003200908
