instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomQuboDWaveClique_L=60_dense_6.h5,60,-79.58449,-79.584496,9.586533e-6,0.002698655,0.000451353
randomQuboDWaveClique_L=60_dense_7.h5,60,-80.52704,-80.52704,0.0,0.002767825,0.000436848
randomQuboDWaveClique_L=60_dense_8.h5,60,-88.20216,-88.202156,-8.649896e-6,0.002773588,0.000450105
randomQuboDWaveClique_L=60_dense_9.h5,60,-88.501724,-88.501724,0.0,0.002875367,0.000439647
randomQuboDWaveClique_L=80_dense_1.h5,80,-123.00696,-123.00695,-6.202409e-6,0.003141703,0.000503596
randomQuboDWaveClique_L=80_dense_10.h5,80,-121.186966,-121.186966,0.0,0.002902109,0.000481728
randomQuboDWaveClique_L=80_dense_11.h5,80,-127.35141,-127.35142,5.9908202e-6,0.003040862,0.000497641
randomQuboDWaveClique_L=80_dense_12.h5,80,-146.44585,-146.44585,0.0,0.002912915,0.000499346
randomQuboDWaveClique_L=80_dense_13.h5,80,-125.56154,-125.56154,0.0,0.002821114,0.000488417
randomQuboDWaveClique_L=80_dense_14.h5,80,-131.27118,-131.30226,0.023672214,0.00289073,0.000463797
randomQuboDWaveClique_L=80_dense_15.h5,80,-123.016205,-123.016205,0.0,0.002908352,0.000484598
randomQuboDWaveClique_L=80_dense_16.h5,80,-133.84837,-133.84837,0.0,0.002890614,0.000492867
randomQuboDWaveClique_L=80_dense_17.h5,80,-118.14133,-118.14132,-6.4578544e-6,0.002895089,0.000516923
randomQuboDWaveClique_L=80_dense_18.h5,80,-129.52687,-129.52687,0.0,0.002876978,0.000491336
randomQuboDWaveClique_L=80_dense_19.h5,80,-119.48988,-119.48989,6.38497e-6,0.002895282,0.000506442
randomQuboDWaveClique_L=80_dense_2.h5,80,-120.82253,-120.822525,-6.314546e-6,0.002897308,0.000492425
randomQuboDWaveClique_L=80_dense_20.h5,80,-143.04028,-143.04028,0.0,0.002995173,0.000508636
randomQuboDWaveClique_L=80_dense_3.h5,80,-129.44061,-129.44061,0.0,0.002970145,0.000469504
randomQuboDWaveClique_L=80_dense_4.h5,80,-103.24783,-103.24784,7.3893984e-6,0.002834628,0.000476342
randomQuboDWaveClique_L=80_dense_5.h5,80,-111.07195,-111.07195,0.0,0.002842767,0.000478786
randomQuboDWaveClique_L=80_dense_6.h5,80,-120.15767,-120.15767,0.0,0.00295521,0.000446256
randomQuboDWaveClique_L=80_dense_7.h5,80,-111.91645,-111.91646,6.8170443e-6,0.002848877,0.000473963
randomQuboDWaveClique_L=80_dense_8.h5,80,-116.810486,-116.810486,0.0,0.003013676,0.000472938
randomQuboDWaveClique_L=80_dense_9.h5,80,-121.305885,-121.305885,0.0,0.0028977,0.000471524
randomQuboDWaveClique_L=100_dense_1.h5,100,-168.7012,-168.70119,-9.044861e-6,0.003084625,0.000497655
randomQuboDWaveClique_L=100_dense_10.h5,100,-183.53954,-183.53952,-8.313626e-6,0.004082971,0.000510587
randomQuboDWaveClique_L=100_dense_11.h5,100,-171.98695,-171.98695,0.0,0.003141351,0.000490059
randomQuboDWaveClique_L=100_dense_12.h5,100,-164.1297,-164.1297,0.0,0.003090482,0.000512705
randomQuboDWaveClique_L=100_dense_13.h5,100,-166.7933,-166.79329,-9.148323e-6,0.003026591,0.000519077
randomQuboDWaveClique_L=100_dense_14.h5,100,-145.10103,-145.10103,0.0,0.003009066,0.000527307
randomQuboDWaveClique_L=100_dense_15.h5,100,-169.22961,-169.2296,-9.0166195e-6,0.003083962,0.000528886
