topology,regime,solver,graph_size,num_var,gap_mean,gap_std,runtime_mean,runtime_std
zephyr,large,AutoTune VeloxQ,30.0,29280.0,0.030007768757621366,0.003619868917400553,2.83743917792,0.24833273101720002
zephyr,large,AutoTune VeloxQ,40.0,51840.0,0.03458151263923044,0.0030325721270419285,5.833243020019999,0.13453406365792597
zephyr,large,AutoTune VeloxQ,50.0,80800.0,0.03426949342010146,0.002529247188144022,9.354238051,0.01331768384129456
zephyr,large,AutoTune VeloxQ,60.0,116160.0,0.03557834860931225,0.0031291335042991507,15.587696428,0.2046070768033094
zephyr,large,AutoTune VeloxQ,70.0,157920.0,0.036038146852637974,0.0024138551692761663,22.37533502838,0.03899654505374175
zephyr,large,AutoTune VeloxQ,80.0,206080.0,0.03608854907860933,0.0018896527354473572,29.30167756162,0.20219250095789937
zephyr,large,AutoTune VeloxQ,90.0,260640.0,0.036356609846215894,0.0025235420086938635,36.90268143172,0.03189023826976063
zephyr,large,AutoTune VeloxQ,100.0,321600.0,0.03566903335869298,0.0016047981500400851,45.23586283914,0.041900426565597615
zephyr,large,AutoTune VeloxQ,110.0,388960.0,0.03627300200469469,0.0013325918610388925,55.42427385812,0.3160008659207217
zephyr,large,AutoTune VeloxQ,120.0,462720.0,0.03625705735196336,0.0009022334286319881,65.81630611794,0.04443164215687515
zephyr,large,AutoTune VeloxQ,130.0,542880.0,0.036295059386121965,0.0011649018912214236,80.05571242778,0.04911537833376834
zephyr,large,AutoTune VeloxQ,140.0,629440.0,0.03630185117667798,0.0010375065402524744,90.53389739778,0.15223098714631375
zephyr,large,AutoTune VeloxQ,150.0,722400.0,0.036847988552837586,0.0013725267334948328,104.29693102847999,0.08249167241056593
zephyr,large,Custom VeloxQ,30.0,29280.0,0.09525500246140278,0.009040663953210452,0.60631431104,0.6332386114443088
zephyr,large,Custom VeloxQ,40.0,51840.0,0.10507402777918032,0.006383323805504086,0.9300413833000001,0.24739487665545087
zephyr,large,Custom VeloxQ,50.0,80800.0,0.10616230563517934,0.004021556231725749,1.39673596322,0.24232838398312825
zephyr,large,Custom VeloxQ,60.0,116160.0,0.10649987337892813,0.004848915257117673,2.41248957288,0.24914633278594603
zephyr,large,Custom VeloxQ,70.0,157920.0,0.10986193722598159,0.004558172464440069,3.0970644521,0.309108829551785
zephyr,large,Custom VeloxQ,80.0,206080.0,0.10977678721573908,0.0031764381264037835,4.1857908761400004,0.2932977656629285
zephyr,large,Custom VeloxQ,90.0,260640.0,0.11087608116310356,0.004386897512945395,4.86406115638,0.27894100886504897
zephyr,large,Custom VeloxQ,100.0,321600.0,0.1104717995575241,0.0022515843607425787,5.53487133728,0.24518615803382587
zephyr,large,Custom VeloxQ,110.0,388960.0,0.11105845585726776,0.0027272306486625067,7.65370416898,1.0758330415458246
zephyr,large,Custom VeloxQ,120.0,462720.0,0.11124261409643411,0.002860300526789561,8.79378550502,0.9961734844179594
zephyr,large,Custom VeloxQ,130.0,542880.0,0.11096996979878813,0.001869257488487643,10.57068406308,0.7364829783391379
zephyr,large,Custom VeloxQ,140.0,629440.0,0.11181723841236359,0.002736016580448216,12.1567713181,2.1231065947261962
