topology,regime,solver,graph_size,num_var,gap_mean,gap_std,runtime_mean,runtime_std
pegasus,large,AutoTune VeloxQ,20.0,8968.0,0.0342916157229238,0.01015759812267083,0.72964833309,0.15804968915969392
pegasus,large,AutoTune VeloxQ,30.0,20648.0,0.04089486880756281,0.006268760418749531,1.87481922225,0.21212351616523153
pegasus,large,AutoTune VeloxQ,40.0,37128.0,0.044579109287472336,0.005598868824828476,3.8589948828600003,0.2416296908959791
pegasus,large,AutoTune VeloxQ,50.0,58408.0,0.044559336795011346,0.003887267032453183,6.4677522059,0.14440264266544545
pegasus,large,AutoTune VeloxQ,60.0,84488.0,0.04544794730419285,0.004142141154241596,10.238776309679999,0.13810268046342603
pegasus,large,AutoTune VeloxQ,70.0,115368.0,0.04496740039286224,0.002442596987640363,14.68529235792,0.13873491091716972
pegasus,large,AutoTune VeloxQ,80.0,151048.0,0.04772409997694159,0.0015824848629792218,19.41854190668,0.280871571696453
pegasus,large,AutoTune VeloxQ,90.0,191528.0,0.04733909249522243,0.0013253309908136941,24.92122130314,0.4204466983257728
pegasus,large,AutoTune VeloxQ,100.0,236808.0,0.04811491658235074,0.0016673831323868438,31.14995742912,0.28082053050025724
pegasus,large,AutoTune VeloxQ,110.0,286888.0,0.04937035744542401,0.002458006048725449,36.59746309664,0.5071157653893258
pegasus,large,AutoTune VeloxQ,120.0,341768.0,0.049253849880077825,0.002117932323137093,43.72575272494,0.5519646150395853
pegasus,large,AutoTune VeloxQ,130.0,401448.0,0.04827177264280405,0.0015740093555935857,51.71447670808,0.7649507356679722
pegasus,large,AutoTune VeloxQ,140.0,465928.0,0.0486174535266294,0.002026789010254603,60.06629809252,0.8616260224773297
pegasus,large,AutoTune VeloxQ,150.0,535208.0,0.05074161426604072,0.0014079428151925724,68.77571849448,0.5447919367386662
pegasus,large,Custom VeloxQ,20.0,8968.0,0.16297924340976647,0.028776335891171984,0.09013709868,0.06468596534714185
pegasus,large,Custom VeloxQ,30.0,20648.0,0.18221247886959074,0.01784402503988049,0.15181313424333331,0.08828918327648155
pegasus,large,Custom VeloxQ,40.0,37128.0,0.18810070823228378,0.014784780674092881,0.31441648860666666,0.17857486621859792
pegasus,large,Custom VeloxQ,50.0,58408.0,0.1913878987262546,0.012434218672332903,0.47878762906,0.2515158428383608
pegasus,large,Custom VeloxQ,60.0,84488.0,0.19158778238749874,0.010075326861085181,0.6644973275266667,0.28104648557881007
pegasus,large,Custom VeloxQ,70.0,115368.0,0.19078294692499084,0.00763564900601417,1.0636115629266667,0.33945722285122015
pegasus,large,Custom VeloxQ,80.0,151048.0,0.1966044311040533,0.007572528152634327,1.2801284624733333,0.42998967155399903
pegasus,large,Custom VeloxQ,90.0,191528.0,0.19582357955096186,0.006791090739445443,1.8370364694733332,0.5230889108016313
pegasus,large,Custom VeloxQ,100.0,236808.0,0.20020517081810751,0.005412273809539723,2.09189743206,0.5579729987112216
