topology,solver,graph_size,runtime_mean,runtime_std,gap_mean,gap_std
zephyr,CPLEX,2.0,4.10963446385,1.3187927444960863,-6.231026696116707e-06,1.0948592373402791e-05
zephyr,VeloxQ AutoTune,2.0,0.04771397828999999,0.011209583025813563,0.0004747152391209854,0.001542727864590244
zephyr,CPLEX,4.0,729.5469149508001,366.7946535049874,0.016698214265470204,0.0746858073793106
zephyr,VeloxQ AutoTune,4.0,0.056963073655,0.01375960499708008,9.331463267272772e-06,0.0010398502429124696
zephyr,CPLEX,6.0,1200.0574250648,0.06871769819122722,0.6396514311456027,0.3434604970989586
zephyr,VeloxQ AutoTune,6.0,0.084986634305,0.032201259429121616,0.004854528356438844,0.007080036875539935
zephyr,CPLEX,8.0,1200.2122266315,0.3360279986772065,0.6304126248713995,1.2619802517617076
zephyr,VeloxQ AutoTune,8.0,0.15137325184,0.03391106437860815,0.012633901010539595,0.00918076607533522
zephyr,CPLEX,10.0,1200.1784069062,0.44617499452950427,3.326847649012381,2.3241792609733594
zephyr,VeloxQ AutoTune,10.0,0.31591901202,0.018711486430033637,0.01927401766108783,0.009500375266028887
zephyr,CPLEX,12.0,1200.0950980984,0.025667993574064584,5.425145174603992,2.0279151923872005
zephyr,VeloxQ AutoTune,12.0,0.422116295235,0.0292533162383516,0.025475982126111976,0.009824064884725632
