instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_60_1_sparse.h5,60,0.09833333333333333,-29.5,1.6666667,0.007369108
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,0.09666666666666666,-29.5,1.6666667,0.007557195
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,0.09722222222222222,-29.5,1.6666667,0.007414787
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,0.09777777777777778,-29.5,1.6666667,0.007692286
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,0.0961111111111111,-29.5,1.6666667,0.011120816
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.007298248
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.009118375
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,0.09833333333333333,-29.5,1.6666667,0.007443103
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,0.09777777777777778,-29.5,1.6666667,0.007489115
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,0.08489795918367347,-35.0,0.0,0.007995514
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,0.08285714285714285,-35.0,0.0,0.008227658
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,0.08489795918367347,-34.0,2.857143,0.006602431
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,0.0836734693877551,-34.5,1.4285715,0.00765152
3R3X_Ising_with_HUBO_Float64_70_4_sparse.h5,70,0.08408163265306122,-34.0,2.857143,0.007485961
3R3X_Ising_with_HUBO_Float64_70_5_sparse.h5,70,0.08448979591836735,-34.0,2.857143,0.007414156
3R3X_Ising_with_HUBO_Float64_70_6_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.007465965
3R3X_Ising_with_HUBO_Float64_70_7_sparse.h5,70,0.08285714285714285,-34.0,2.857143,0.007466675
3R3X_Ising_with_HUBO_Float64_70_8_sparse.h5,70,0.0836734693877551,-34.5,1.4285715,0.007441045
3R3X_Ising_with_HUBO_Float64_70_9_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.007390673
3R3X_Ising_with_HUBO_Float64_80_10_sparse.h5,80,0.0721875,-39.5,1.25,0.007889604
3R3X_Ising_with_HUBO_Float64_80_1_sparse.h5,80,0.0721875,-39.0,2.5,0.007432474
3R3X_Ising_with_HUBO_Float64_80_2_sparse.h5,80,0.0734375,-39.0,2.5,0.00745857
3R3X_Ising_with_HUBO_Float64_80_3_sparse.h5,80,0.07375,-39.5,1.25,0.007948394
3R3X_Ising_with_HUBO_Float64_80_4_sparse.h5,80,0.0734375,-39.5,1.25,0.008313709
3R3X_Ising_with_HUBO_Float64_80_5_sparse.h5,80,0.07375,-39.0,2.5,0.006753171
3R3X_Ising_with_HUBO_Float64_80_6_sparse.h5,80,0.0740625,-39.5,1.25,0.007506603
3R3X_Ising_with_HUBO_Float64_80_7_sparse.h5,80,0.0728125,-39.5,1.25,0.007505956
3R3X_Ising_with_HUBO_Float64_80_8_sparse.h5,80,0.073125,-39.0,2.5,0.007538576
3R3X_Ising_with_HUBO_Float64_80_9_sparse.h5,80,0.0746875,-39.0,2.5,0.007351846
3R3X_Ising_with_HUBO_Float64_90_10_sparse.h5,90,0.0654320987654321,-44.0,2.2222223,0.009507073
3R3X_Ising_with_HUBO_Float64_90_1_sparse.h5,90,0.06567901234567901,-44.0,2.2222223,0.009530212
3R3X_Ising_with_HUBO_Float64_90_2_sparse.h5,90,0.06641975308641976,-44.0,2.2222223,0.009472828
3R3X_Ising_with_HUBO_Float64_90_3_sparse.h5,90,0.0654320987654321,-44.0,2.2222223,0.00937003
3R3X_Ising_with_HUBO_Float64_90_4_sparse.h5,90,0.06592592592592593,-44.0,2.2222223,0.009724073
3R3X_Ising_with_HUBO_Float64_90_5_sparse.h5,90,0.06493827160493827,-44.0,2.2222223,0.009670312
3R3X_Ising_with_HUBO_Float64_90_6_sparse.h5,90,0.06641975308641976,-44.0,2.2222223,0.011989608
3R3X_Ising_with_HUBO_Float64_90_7_sparse.h5,90,0.0654320987654321,-44.0,2.2222223,0.010173879
3R3X_Ising_with_HUBO_Float64_90_8_sparse.h5,90,0.06617283950617284,-44.0,2.2222223,0.008761546
3R3X_Ising_with_HUBO_Float64_90_9_sparse.h5,90,0.06518518518518518,-44.0,2.2222223,0.009607307
3R3X_Ising_with_HUBO_Float64_100_10_sparse.h5,100,0.0594,-49.5,1.0,0.009514337
3R3X_Ising_with_HUBO_Float64_100_1_sparse.h5,100,0.0588,-48.5,3.0,0.009522522
3R3X_Ising_with_HUBO_Float64_100_2_sparse.h5,100,0.0592,-49.0,2.0,0.011027206
3R3X_Ising_with_HUBO_Float64_100_3_sparse.h5,100,0.0588,-49.0,2.0,0.009605711
3R3X_Ising_with_HUBO_Float64_100_4_sparse.h5,100,0.059,-49.0,2.0,0.009554372
3R3X_Ising_with_HUBO_Float64_100_5_sparse.h5,100,0.0586,-49.0,2.0,0.009582771
3R3X_Ising_with_HUBO_Float64_100_6_sparse.h5,100,0.0588,-49.0,2.0,0.00938655
3R3X_Ising_with_HUBO_Float64_100_7_sparse.h5,100,0.059,-49.5,1.0,0.009536637
3R3X_Ising_with_HUBO_Float64_100_8_sparse.h5,100,0.0594,-49.0,2.0,0.010966946
3R3X_Ising_with_HUBO_Float64_100_9_sparse.h5,100,0.0592,-48.5,3.0,0.010223604
3R3X_Ising_with_HUBO_Float64_200_10_sparse.h5,200,0.02995,-97.5,2.5,0.029097299
3R3X_Ising_with_HUBO_Float64_200_1_sparse.h5,200,0.0297,-97.0,3.0,0.009688058
3R3X_Ising_with_HUBO_Float64_200_2_sparse.h5,200,0.02985,-98.0,2.0,0.009747551
3R3X_Ising_with_HUBO_Float64_200_3_sparse.h5,200,0.02995,-96.5,3.5,0.009526053
3R3X_Ising_with_HUBO_Float64_200_4_sparse.h5,200,0.02975,-97.0,3.0,0.011389626
3R3X_Ising_with_HUBO_Float64_200_5_sparse.h5,200,0.02995,-97.5,2.5,0.009641088
3R3X_Ising_with_HUBO_Float64_200_6_sparse.h5,200,0.02975,-96.5,3.5,0.00967377
3R3X_Ising_with_HUBO_Float64_200_7_sparse.h5,200,0.02985,-97.0,3.0,0.009677026
3R3X_Ising_with_HUBO_Float64_200_8_sparse.h5,200,0.02965,-97.5,2.5,0.010120833
3R3X_Ising_with_HUBO_Float64_200_9_sparse.h5,200,0.0297,-97.0,3.0,0.010266604
3R3X_Ising_with_HUBO_Float64_400_10_sparse.h5,400,0.0149125,-193.0,3.5,0.010259869
3R3X_Ising_with_HUBO_Float64_400_1_sparse.h5,400,0.0149625,-192.5,3.7500002,0.010212594
3R3X_Ising_with_HUBO_Float64_400_2_sparse.h5,400,0.01495,-193.0,3.5,0.010330521
3R3X_Ising_with_HUBO_Float64_400_3_sparse.h5,400,0.014975,-192.5,3.7500002,0.010142123
3R3X_Ising_with_HUBO_Float64_400_4_sparse.h5,400,0.0149,-192.5,3.7500002,0.009673982
3R3X_Ising_with_HUBO_Float64_400_5_sparse.h5,400,0.0149625,-192.5,3.7500002,0.009629498
3R3X_Ising_with_HUBO_Float64_400_6_sparse.h5,400,0.014975,-193.0,3.5,0.009710664
3R3X_Ising_with_HUBO_Float64_400_7_sparse.h5,400,0.0149375,-194.5,2.75,0.015473677
3R3X_Ising_with_HUBO_Float64_400_8_sparse.h5,400,0.014875,-193.0,3.5,0.010128591
3R3X_Ising_with_HUBO_Float64_400_9_sparse.h5,400,0.0149375,-193.0,3.5,0.010302896
3R3X_Ising_with_HUBO_Float64_600_10_sparse.h5,600,0.009955555555555556,-287.5,4.166667,0.010595938
3R3X_Ising_with_HUBO_Float64_600_1_sparse.h5,600,0.009983333333333334,-287.5,4.166667,0.010559769
3R3X_Ising_with_HUBO_Float64_600_2_sparse.h5,600,0.009972222222222223,-288.5,3.8333335,0.010093481
3R3X_Ising_with_HUBO_Float64_600_3_sparse.h5,600,0.00998888888888889,-287.5,4.166667,0.00987656
3R3X_Ising_with_HUBO_Float64_600_4_sparse.h5,600,0.009961111111111112,-288.5,3.8333335,0.009739585
