instance,num_var,density,velox_energy,gap,runtime_velox
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,100,0.04,-122.0,0.0,1.002464853
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,100,0.04,-138.0,0.0,0.026894231
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,100,0.04,-124.0,0.0,0.027864322
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,100,0.04,-120.0,0.0,0.02949083
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,100,0.04,-136.0,0.0,0.027225295
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,100,0.04,-130.0,0.0,0.027069889
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,100,0.04,-116.0,0.0,0.027314104
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,100,0.04,-124.0,0.0,0.027285274
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,100,0.04,-122.0,0.0,0.027777772
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,100,0.04,-124.0,0.0,0.026641523
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_10_sparse.h5,100,0.04,-182.0,0.0,0.029391142
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_1_sparse.h5,100,0.04,-172.0,0.0,0.02826117
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_2_sparse.h5,100,0.04,-184.0,0.0,0.026592332
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_3_sparse.h5,100,0.04,-184.0,0.0,0.02698207
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_4_sparse.h5,100,0.04,-170.0,0.0,0.025512547
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_5_sparse.h5,100,0.04,-176.0,0.0,0.026607496
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_6_sparse.h5,100,0.04,-188.0,0.0,0.027006866
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_7_sparse.h5,100,0.04,-174.0,0.0,0.027308534
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_8_sparse.h5,100,0.04,-182.0,1.0869565,0.053740318
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_9_sparse.h5,100,0.04,-182.0,1.0869565,0.02666822
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,400,0.01,-460.0,0.0,0.028956864
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,400,0.01,-492.0,0.0,0.029300671
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,400,0.01,-456.0,0.0,0.055710886
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,400,0.01,-488.0,0.0,0.028303369
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,400,0.01,-466.0,0.0,0.028558856
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,400,0.01,-506.0,0.0,0.028553205
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,400,0.01,-478.0,0.0,0.049909815
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,400,0.01,-482.0,0.0,0.029263664
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,400,0.01,-470.0,0.0,0.029290127
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,400,0.01,-492.0,0.0,0.053020609
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_10_sparse.h5,400,0.01,-724.0,0.5494506,0.031185428
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_1_sparse.h5,400,0.01,-726.0,0.5479452,0.029165777
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_2_sparse.h5,400,0.01,-736.0,0.8086253,0.029944487
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_3_sparse.h5,400,0.01,-720.0,0.2770083,0.050295874
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_4_sparse.h5,400,0.01,-708.0,0.28169012,0.028479042
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_5_sparse.h5,400,0.01,-736.0,0.5405406,0.028386563
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_6_sparse.h5,400,0.01,-718.0,0.5540166,0.051606355
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_7_sparse.h5,400,0.01,-744.0,0.26809654,0.036073556
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_8_sparse.h5,400,0.01,-710.0,0.83798885,0.029923246
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_9_sparse.h5,400,0.01,-730.0,0.0,0.029227605
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,900,0.0044444444444444444,-1080.0,0.0,0.028075004
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,900,0.0044444444444444444,-1070.0,0.0,0.029225137
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,900,0.0044444444444444444,-1086.0,0.0,0.029596452
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,900,0.0044444444444444444,-1076.0,0.0,0.050859693
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,900,0.0044444444444444444,-1080.0,0.0,0.02991156
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,900,0.0044444444444444444,-1082.0,0.0,0.030112831
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,900,0.0044444444444444444,-1070.0,0.0,0.050403829
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,900,0.0044444444444444444,-1108.0,0.0,0.029142765
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,900,0.0044444444444444444,-1050.0,0.0,0.02907189
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,900,0.0044444444444444444,-1084.0,0.0,0.05036385
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_10_sparse.h5,900,0.0044444444444444444,-1602.0,0.6203474,0.029138122
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_1_sparse.h5,900,0.0044444444444444444,-1594.0,0.375,0.029010761
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_2_sparse.h5,900,0.0044444444444444444,-1628.0,0.61050063,0.049942872
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_3_sparse.h5,900,0.0044444444444444444,-1630.0,0.36674818,0.029049272
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_4_sparse.h5,900,0.0044444444444444444,-1584.0,0.6273526,0.028834406
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_5_sparse.h5,900,0.0044444444444444444,-1608.0,0.9852217,0.04684993
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_6_sparse.h5,900,0.0044444444444444444,-1606.0,0.8641975,0.028831985
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_7_sparse.h5,900,0.0044444444444444444,-1608.0,0.618047,0.030734922
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_8_sparse.h5,900,0.0044444444444444444,-1618.0,0.4920049,0.048603681
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_9_sparse.h5,900,0.0044444444444444444,-1606.0,0.6188119,0.028743441
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,1600,0.0025,-1912.0,0.0,0.033654997
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,1600,0.0025,-1938.0,0.0,0.052207934
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,1600,0.0025,-1906.0,0.0,0.033171337
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,1600,0.0025,-1938.0,0.0,0.033821401
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,1600,0.0025,-1908.0,0.0,0.03126942
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,1600,0.0025,-1920.0,0.0,0.031921988
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,1600,0.0025,-1974.0,0.0,0.050233574
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,1600,0.0025,-1914.0,0.0,0.030943128
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,1600,0.0025,-1904.0,0.0,0.032313002
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,1600,0.0025,-1896.0,0.0,0.049586792
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_10_sparse.h5,1600,0.0025,-2876.0,0.75914425,0.031915093
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_1_sparse.h5,1600,0.0025,-2872.0,0.9655172,0.033072307
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_2_sparse.h5,1600,0.0025,-2870.0,0.96618354,0.049738237
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_3_sparse.h5,1600,0.0025,-2828.0,0.84151477,0.032574611
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_4_sparse.h5,1600,0.0025,-2852.0,0.90340513,0.047065763
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_5_sparse.h5,1600,0.0025,-2854.0,1.1772853,0.032439713
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_6_sparse.h5,1600,0.0025,-2822.0,0.84328884,0.031625018
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_7_sparse.h5,1600,0.0025,-2838.0,0.9078212,0.050222656
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_8_sparse.h5,1600,0.0025,-2864.0,0.899654,0.033202217
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_9_sparse.h5,1600,0.0025,-2890.0,0.9595613,0.032511589
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,2500,0.0016,-2996.0,0.0,0.044251761
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,2500,0.0016,-2986.0,0.0,0.050610985
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,2500,0.0016,-3000.0,0.0,0.067543381
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,2500,0.0016,-2982.0,0.0,0.044909025
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,2500,0.0016,-2988.0,0.0,0.062021778
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,2500,0.0016,-2982.0,0.0,0.04917733
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,2500,0.0016,-3010.0,0.0,0.048776667
