instance,num_var,ground_energy,pa_energy,gap,pa_runtime
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.00644859
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006670379
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.007476107
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006365876
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,-30.0,-30.0,0.0,0.006554743
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.008324562
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006444769
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.00711144
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,-35.0,-35.0,0.0,0.007047311
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007543327
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007423261
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.008490587
3R3X_Ising_with_HUBO_Float64_70_4_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007293016
3R3X_Ising_with_HUBO_Float64_70_5_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007468479
3R3X_Ising_with_HUBO_Float64_70_6_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.008101454
3R3X_Ising_with_HUBO_Float64_70_7_sparse.h5,70,-35.0,-34.0,2.857142857142857,0.007639359
3R3X_Ising_with_HUBO_Float64_70_8_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.008725947
3R3X_Ising_with_HUBO_Float64_70_9_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.00814026
3R3X_Ising_with_HUBO_Float64_80_10_sparse.h5,80,-40.0,-39.0,2.5,0.008258851
3R3X_Ising_with_HUBO_Float64_80_1_sparse.h5,80,-40.0,-39.0,2.5,0.008877748
3R3X_Ising_with_HUBO_Float64_80_2_sparse.h5,80,-40.0,-39.5,1.25,0.007359358
3R3X_Ising_with_HUBO_Float64_80_3_sparse.h5,80,-40.0,-39.5,1.25,0.007587269
3R3X_Ising_with_HUBO_Float64_80_4_sparse.h5,80,-40.0,-39.0,2.5,0.007240615
3R3X_Ising_with_HUBO_Float64_80_5_sparse.h5,80,-40.0,-39.0,2.5,0.007474308
3R3X_Ising_with_HUBO_Float64_80_6_sparse.h5,80,-40.0,-39.0,2.5,0.007568411
3R3X_Ising_with_HUBO_Float64_80_7_sparse.h5,80,-40.0,-39.0,2.5,0.007677366
3R3X_Ising_with_HUBO_Float64_80_8_sparse.h5,80,-40.0,-39.0,2.5,0.007993988
3R3X_Ising_with_HUBO_Float64_80_9_sparse.h5,80,-40.0,-39.0,2.5,0.007558818
3R3X_Ising_with_HUBO_Float64_90_10_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.008822932
3R3X_Ising_with_HUBO_Float64_90_1_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.008485044
3R3X_Ising_with_HUBO_Float64_90_2_sparse.h5,90,-45.0,-44.5,1.1111111111111112,0.011274935
3R3X_Ising_with_HUBO_Float64_90_3_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.009555961
3R3X_Ising_with_HUBO_Float64_90_4_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.008020102
3R3X_Ising_with_HUBO_Float64_90_5_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.008874009
3R3X_Ising_with_HUBO_Float64_90_6_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.007719549
3R3X_Ising_with_HUBO_Float64_90_7_sparse.h5,90,-45.0,-44.5,1.1111111111111112,0.011544503
3R3X_Ising_with_HUBO_Float64_90_8_sparse.h5,90,-45.0,-44.5,1.1111111111111112,0.009522802
3R3X_Ising_with_HUBO_Float64_90_9_sparse.h5,90,-45.0,-44.0,2.2222222222222223,0.008189541
3R3X_Ising_with_HUBO_Float64_100_10_sparse.h5,100,-50.0,-48.5,3.0,0.009851094
3R3X_Ising_with_HUBO_Float64_100_1_sparse.h5,100,-50.0,-49.0,2.0,0.009470031
3R3X_Ising_with_HUBO_Float64_100_2_sparse.h5,100,-50.0,-49.0,2.0,0.010967722
3R3X_Ising_with_HUBO_Float64_100_3_sparse.h5,100,-50.0,-49.0,2.0,0.01030063
3R3X_Ising_with_HUBO_Float64_100_4_sparse.h5,100,-50.0,-48.5,3.0,0.00952748
3R3X_Ising_with_HUBO_Float64_100_5_sparse.h5,100,-50.0,-49.0,2.0,0.010240703
3R3X_Ising_with_HUBO_Float64_100_6_sparse.h5,100,-50.0,-48.5,3.0,0.009178298
3R3X_Ising_with_HUBO_Float64_100_7_sparse.h5,100,-50.0,-49.0,2.0,0.013708952
3R3X_Ising_with_HUBO_Float64_100_8_sparse.h5,100,-50.0,-48.5,3.0,0.009258146
