instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_60_1_sparse.h5,60,0.09833333333333333,-30.0,0.0,0.036060025
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,0.09666666666666666,-30.0,0.0,0.036273383
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.037409724
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,0.09777777777777778,-30.0,0.0,0.037969755
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,0.0961111111111111,-30.0,0.0,0.043113211
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.087925973
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.036364243
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,0.09833333333333333,-30.0,0.0,0.035834041
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,0.09777777777777778,-30.0,0.0,0.035609051
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.037953768
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,0.08285714285714285,-35.0,0.0,0.0375592
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.084255843
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,0.0836734693877551,-34.5,1.4285715,0.03736552
3R3X_Ising_with_HUBO_Float64_70_4_sparse.h5,70,0.08408163265306122,-35.0,0.0,0.036538263
3R3X_Ising_with_HUBO_Float64_70_5_sparse.h5,70,0.08448979591836735,-34.5,1.4285715,0.036786863
3R3X_Ising_with_HUBO_Float64_70_6_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.036860347
3R3X_Ising_with_HUBO_Float64_70_7_sparse.h5,70,0.08285714285714285,-35.0,0.0,0.038872936
3R3X_Ising_with_HUBO_Float64_70_8_sparse.h5,70,0.0836734693877551,-34.5,1.4285715,0.088941948
3R3X_Ising_with_HUBO_Float64_70_9_sparse.h5,70,0.08489795918367347,-35.0,0.0,0.036491892
3R3X_Ising_with_HUBO_Float64_80_10_sparse.h5,80,0.0721875,-39.5,1.25,0.036847758
3R3X_Ising_with_HUBO_Float64_80_1_sparse.h5,80,0.0721875,-40.0,0.0,0.036604512
3R3X_Ising_with_HUBO_Float64_80_2_sparse.h5,80,0.0734375,-39.5,1.25,0.036589737
3R3X_Ising_with_HUBO_Float64_80_3_sparse.h5,80,0.07375,-39.5,1.25,0.038114372
3R3X_Ising_with_HUBO_Float64_80_4_sparse.h5,80,0.0734375,-40.0,0.0,0.038973109
3R3X_Ising_with_HUBO_Float64_80_5_sparse.h5,80,0.07375,-40.0,0.0,0.085045729
3R3X_Ising_with_HUBO_Float64_80_6_sparse.h5,80,0.0740625,-39.5,1.25,0.036151802
3R3X_Ising_with_HUBO_Float64_80_7_sparse.h5,80,0.0728125,-39.5,1.25,0.036134468
3R3X_Ising_with_HUBO_Float64_80_8_sparse.h5,80,0.073125,-39.5,1.25,0.039549248
3R3X_Ising_with_HUBO_Float64_80_9_sparse.h5,80,0.0746875,-40.0,0.0,0.046008176
3R3X_Ising_with_HUBO_Float64_90_10_sparse.h5,90,0.0654320987654321,-44.5,1.1111112,0.040115004
3R3X_Ising_with_HUBO_Float64_90_1_sparse.h5,90,0.06567901234567901,-45.0,0.0,0.087452124
3R3X_Ising_with_HUBO_Float64_90_2_sparse.h5,90,0.06641975308641976,-45.0,0.0,0.038226137
3R3X_Ising_with_HUBO_Float64_90_3_sparse.h5,90,0.0654320987654321,-44.5,1.1111112,0.038183255
3R3X_Ising_with_HUBO_Float64_90_4_sparse.h5,90,0.06592592592592593,-45.0,0.0,0.038903855
3R3X_Ising_with_HUBO_Float64_90_5_sparse.h5,90,0.06493827160493827,-44.5,1.1111112,0.039078792
3R3X_Ising_with_HUBO_Float64_90_6_sparse.h5,90,0.06641975308641976,-45.0,0.0,0.039549689
3R3X_Ising_with_HUBO_Float64_90_7_sparse.h5,90,0.0654320987654321,-44.5,1.1111112,0.091910637
3R3X_Ising_with_HUBO_Float64_90_8_sparse.h5,90,0.06617283950617284,-44.5,1.1111112,0.038000695
3R3X_Ising_with_HUBO_Float64_90_9_sparse.h5,90,0.06518518518518518,-45.0,0.0,0.038121784
3R3X_Ising_with_HUBO_Float64_100_10_sparse.h5,100,0.0594,-49.0,2.0,0.038278773
3R3X_Ising_with_HUBO_Float64_100_1_sparse.h5,100,0.0588,-49.0,2.0,0.046213864
3R3X_Ising_with_HUBO_Float64_100_2_sparse.h5,100,0.0592,-49.5,1.0,0.037892329
3R3X_Ising_with_HUBO_Float64_100_3_sparse.h5,100,0.0588,-49.5,1.0,0.040299814
3R3X_Ising_with_HUBO_Float64_100_4_sparse.h5,100,0.059,-49.5,1.0,0.037158881
3R3X_Ising_with_HUBO_Float64_100_5_sparse.h5,100,0.0586,-49.0,2.0,0.038623571
3R3X_Ising_with_HUBO_Float64_100_6_sparse.h5,100,0.0588,-49.5,1.0,0.039758049
3R3X_Ising_with_HUBO_Float64_100_7_sparse.h5,100,0.059,-49.5,1.0,0.038698551
3R3X_Ising_with_HUBO_Float64_100_8_sparse.h5,100,0.0594,-49.5,1.0,0.040354501
3R3X_Ising_with_HUBO_Float64_100_9_sparse.h5,100,0.0592,-49.5,1.0,0.040175383
3R3X_Ising_with_HUBO_Float64_200_10_sparse.h5,200,0.02995,-98.0,2.0,0.083100148
3R3X_Ising_with_HUBO_Float64_200_1_sparse.h5,200,0.0297,-97.5,2.5,0.051647182
3R3X_Ising_with_HUBO_Float64_200_2_sparse.h5,200,0.02985,-98.0,2.0,0.038587744
3R3X_Ising_with_HUBO_Float64_200_3_sparse.h5,200,0.02995,-97.5,2.5,0.040220156
3R3X_Ising_with_HUBO_Float64_200_4_sparse.h5,200,0.02975,-98.0,2.0,0.048672753
3R3X_Ising_with_HUBO_Float64_200_5_sparse.h5,200,0.02995,-97.5,2.5,0.040606001
3R3X_Ising_with_HUBO_Float64_200_6_sparse.h5,200,0.02975,-97.5,2.5,0.044706168
3R3X_Ising_with_HUBO_Float64_200_7_sparse.h5,200,0.02985,-97.5,2.5,0.045915013
3R3X_Ising_with_HUBO_Float64_200_8_sparse.h5,200,0.02965,-97.5,2.5,0.038019196
3R3X_Ising_with_HUBO_Float64_200_9_sparse.h5,200,0.0297,-98.5,1.5,0.03870382
3R3X_Ising_with_HUBO_Float64_400_10_sparse.h5,400,0.0149125,-194.0,3.0,0.041703136
3R3X_Ising_with_HUBO_Float64_400_1_sparse.h5,400,0.0149625,-194.0,3.0,0.085660134
3R3X_Ising_with_HUBO_Float64_400_2_sparse.h5,400,0.01495,-193.5,3.25,0.038064576
3R3X_Ising_with_HUBO_Float64_400_3_sparse.h5,400,0.014975,-194.0,3.0,0.039654764
3R3X_Ising_with_HUBO_Float64_400_4_sparse.h5,400,0.0149,-194.5,2.75,0.039679245
3R3X_Ising_with_HUBO_Float64_400_5_sparse.h5,400,0.0149625,-194.0,3.0,0.039829395
3R3X_Ising_with_HUBO_Float64_400_6_sparse.h5,400,0.014975,-193.5,3.25,0.0393763
3R3X_Ising_with_HUBO_Float64_400_7_sparse.h5,400,0.0149375,-194.0,3.0,0.083180411
3R3X_Ising_with_HUBO_Float64_400_8_sparse.h5,400,0.014875,-193.5,3.25,0.041115277
3R3X_Ising_with_HUBO_Float64_400_9_sparse.h5,400,0.0149375,-194.0,3.0,0.038980808
3R3X_Ising_with_HUBO_Float64_600_10_sparse.h5,600,0.009955555555555556,-289.5,3.5,0.051589477
3R3X_Ising_with_HUBO_Float64_600_1_sparse.h5,600,0.009983333333333334,-289.0,3.6666665,0.052717433
3R3X_Ising_with_HUBO_Float64_600_2_sparse.h5,600,0.009972222222222223,-290.5,3.1666665,0.092892835
3R3X_Ising_with_HUBO_Float64_600_3_sparse.h5,600,0.00998888888888889,-288.5,3.8333335,0.050181733
3R3X_Ising_with_HUBO_Float64_600_4_sparse.h5,600,0.009961111111111112,-289.0,3.6666665,0.051609644
3R3X_Ising_with_HUBO_Float64_600_5_sparse.h5,600,0.009966666666666667,-289.0,3.6666665,0.052324541
3R3X_Ising_with_HUBO_Float64_600_6_sparse.h5,600,0.009977777777777778,-290.0,3.3333335,0.052094903
3R3X_Ising_with_HUBO_Float64_600_7_sparse.h5,600,0.009972222222222223,-290.0,3.3333335,0.091905156
3R3X_Ising_with_HUBO_Float64_600_8_sparse.h5,600,0.009977777777777778,-289.0,3.6666665,0.052463059
3R3X_Ising_with_HUBO_Float64_600_9_sparse.h5,600,0.009977777777777778,-289.5,3.5,0.050463957
3R3X_Ising_with_HUBO_Float64_1000_10_sparse.h5,1000,0.00599,-482.0,3.6,0.064753653
3R3X_Ising_with_HUBO_Float64_1000_1_sparse.h5,1000,0.005994,-480.0,4.0,0.100531167
