instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_10_10_sparse.h5,10,0.5,-5.0,0.0,0.029023932
3R3X_Ising_with_HUBO_Float64_10_1_sparse.h5,10,0.5,-5.0,0.0,0.141867425
3R3X_Ising_with_HUBO_Float64_10_2_sparse.h5,10,0.5,-5.0,0.0,0.028310293
3R3X_Ising_with_HUBO_Float64_10_3_sparse.h5,10,0.5,-5.0,0.0,0.027720368
3R3X_Ising_with_HUBO_Float64_10_4_sparse.h5,10,0.5,-5.0,0.0,0.028281649
3R3X_Ising_with_HUBO_Float64_10_5_sparse.h5,10,0.5,-5.0,0.0,0.025198919
3R3X_Ising_with_HUBO_Float64_10_6_sparse.h5,10,0.5,-5.0,0.0,0.026793896
3R3X_Ising_with_HUBO_Float64_10_7_sparse.h5,10,0.5,-5.0,0.0,0.02810688
3R3X_Ising_with_HUBO_Float64_10_8_sparse.h5,10,0.5,-5.0,0.0,0.052778773
3R3X_Ising_with_HUBO_Float64_10_9_sparse.h5,10,0.5,-5.0,0.0,0.026827852
3R3X_Ising_with_HUBO_Float64_20_10_sparse.h5,20,0.285,-10.0,0.0,0.027884268
3R3X_Ising_with_HUBO_Float64_20_1_sparse.h5,20,0.275,-10.0,0.0,0.044772678
3R3X_Ising_with_HUBO_Float64_20_2_sparse.h5,20,0.285,-10.0,0.0,0.027211154
3R3X_Ising_with_HUBO_Float64_20_3_sparse.h5,20,0.275,-10.0,0.0,0.026943594
3R3X_Ising_with_HUBO_Float64_20_4_sparse.h5,20,0.255,-10.0,0.0,0.047522991
3R3X_Ising_with_HUBO_Float64_20_5_sparse.h5,20,0.275,-10.0,0.0,0.027118235
3R3X_Ising_with_HUBO_Float64_20_6_sparse.h5,20,0.275,-10.0,0.0,0.030408658
3R3X_Ising_with_HUBO_Float64_20_7_sparse.h5,20,0.275,-9.5,5.0,0.04921777
3R3X_Ising_with_HUBO_Float64_20_8_sparse.h5,20,0.285,-10.0,0.0,0.026315475
3R3X_Ising_with_HUBO_Float64_20_9_sparse.h5,20,0.29,-10.0,0.0,0.026000988
3R3X_Ising_with_HUBO_Float64_30_10_sparse.h5,30,0.18888888888888888,-15.0,0.0,0.026220879
3R3X_Ising_with_HUBO_Float64_30_1_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.047848576
3R3X_Ising_with_HUBO_Float64_30_2_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.027313031
3R3X_Ising_with_HUBO_Float64_30_3_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.026481579
3R3X_Ising_with_HUBO_Float64_30_4_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.050460714
3R3X_Ising_with_HUBO_Float64_30_5_sparse.h5,30,0.17777777777777778,-15.0,0.0,0.026472808
3R3X_Ising_with_HUBO_Float64_30_6_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.02723187
3R3X_Ising_with_HUBO_Float64_30_7_sparse.h5,30,0.18888888888888888,-15.0,0.0,0.044838091
3R3X_Ising_with_HUBO_Float64_30_8_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.026966473
3R3X_Ising_with_HUBO_Float64_30_9_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.026934333
3R3X_Ising_with_HUBO_Float64_40_10_sparse.h5,40,0.1475,-20.0,0.0,0.029786266
3R3X_Ising_with_HUBO_Float64_40_1_sparse.h5,40,0.145,-20.0,0.0,0.025565045
3R3X_Ising_with_HUBO_Float64_40_2_sparse.h5,40,0.14625,-20.0,0.0,0.027172865
3R3X_Ising_with_HUBO_Float64_40_3_sparse.h5,40,0.14625,-20.0,0.0,0.027408847
