instance,num_var,optimizer,TTN_energy,runtime,state
randomQuboDWaveChimera_8_2_dense_1.txt,128,TreeSA,-1830.25,0.070718234,01100010111011010001110001010111000110110100010010000000110000011110100100011101100100000101010111000110011010110000000110010011
randomQuboDWaveChimera_8_3_dense_1.txt,192,TreeSA,-2907.25,0.402349452,011011101000101101110011011000001000111100110011110101000010100010011000110011001001000000100000010010010100011001111000011011100000001110000010010000011000100101010110100001010100100000000000
randomQuboDWaveChimera_8_4_dense_1.txt,256,TreeSA,-3672.25,0.859098201,0001101100111001010001111101000100001010001101111000000001010100100000000100110010110010101010101011010000010010010011000000100001010000001100000111001110110101001101100110010110101011101000101111000100010000100011110101110110000000111010000101000010101001
randomQuboDWaveChimera_8_5_dense_1.txt,320,TreeSA,-4768.0,17.223146413,10000111100010001010001001010011010110100100100011011000000001001000010010011000001010001110100010001010010000010111101010001111110000001100010001100101000000000110011000010000110011001100110101010111000010000001110101001000110000111010000100110001101100000000011001001001100000101011010001100001111010110001011110100000
randomQuboDWaveChimera_8_6_dense_1.txt,384,TreeSA,-5624.5,2149.515328291,010100111000101110000001010110100001011000000001011000011000000110001100011111000010000000011010111001011100100001100101000100011101000001100011111011000010010110000100100111001001000100000100011001000100111100001011100100100011011100010001110001110100010100101100000101000101000011101110100000110011000100010000100000111000110110001011000010100001000101010100100110010000011010101110
randomQuboDWaveChimera_8_7_dense_1.txt,448,TreeSA,-6406.25,56403.360147726,0010100010110000101100011001100111000110101010100100010011110000100000001101000111100001010011010010101010011101000010001101001000001011001000011000000000000011011000110111000101001010011000000100101000101100011100000010110000101010000010101001001000100101000100110001110011110111001000000101110001100000000100000010010100001010010111000001101110011001001101110111000010100001000101000001011110010010110000001001101111001101110111001000100001100111
