num_var,alpha,autotune_gap_mean,custom1_gap_mean,custom2_gap_mean,sbm_gap_mean,pa_gap_mean,autotune_runtime_mean,custom1_runtime_mean,custom2_runtime_mean,sbm_runtime_mean,pa_runtime_mean
100,0.2,1.4328675538430955,1.0131105997177094,0.7238968543590855,2.739395250619401,1.3159553054673423,0.0368659028,0.0157624527,0.07387039660000001,0.07895824177777777,0.2047591091
100,1.0,3.904652536225607e-07,3.904652536225607e-07,3.904652536225607e-07,1.1120183369882057e-06,1.1120183369882057e-06,0.03821950489999999,0.015957991600000002,0.07142300189999999,0.07543186849999999,0.20281449710000002
200,0.2,2.3705207592982354,1.543204147093793,1.086473500298037,4.133403984587267,2.2190407221655537,0.0383794748,0.015211674,0.11563995010000001,0.07540311720000001,0.8354565434000001
200,1.0,-1.7343215037113455e-06,-1.7343215037113455e-06,-1.7343215037113455e-06,5.828737062423562e-07,5.266673018102627,0.03824752259999999,0.013294349,0.11307825279999999,0.07399343359999999,0.8587631871999999
300,0.2,2.7741730403330704,1.709121183547667,1.2956552823144984,4.608616329762205,2.72558787453478,0.0457938288,0.0150130549,0.17254472530000003,0.0781061665,2.5674581388
300,1.0,2.3370631879688037,1.4012297268035821e-06,3.921870773914043e-07,-6.216037516397861e-07,12.881436158109647,0.04666179489999999,0.0148855833,0.184723159,0.0811736089,2.5507540003
400,0.2,3.127753910705237,1.837750823527004,1.3979735494831573,4.9449349267734135,2.8361210598446522,0.0644711984,0.015048552100000001,0.2362288419,0.0776037153,3.9904233702999994
400,1.0,8.39872051366618,-9.839023306340709e-07,5.456175211471018e-07,-4.773038053362213e-06,13.393065711509976,0.06334254320000002,0.015124032400000001,0.2207661882,0.07882454139999999,3.9906229731000002
500,0.2,3.220732686663645,1.9916948000381136,1.4385316686353076,4.945518284708449,3.0775429798332246,0.06775102260000002,0.0195263955,0.2864028635,0.0764363083,6.5925953884999995
500,1.0,10.9212761051017,2.390641087312707e-06,5.559271513988726e-07,-1.2860562290126951e-06,13.752101364337623,0.06077419519999999,0.018974660299999998,0.28516978959999995,0.0764195283,6.0578463946
600,0.2,3.4843186046899604,2.0734530932430095,1.4960686330924775,5.419407711213793,3.117635869293597,0.06327051759999999,0.022607198700000004,0.3305059794,0.07658695299999999,9.5221450996
600,1.0,12.215679746996894,-1.6575262412127832e-06,-1.6694969933604763e-06,-6.430744800554299e-07,13.914869794092633,0.0631107269,0.0226621597,0.3292142806999999,0.0765816351,9.536727149499999
700,0.2,3.593947687367882,2.093890629871872,1.5279317912480423,5.291283064742794,3.233317855564013,0.0588445639,0.024385348400000003,0.36698798470000005,0.0768291394,13.263324040999999
700,1.0,12.203977761647835,4.472364168926356,-2.420324686056276e-07,2.4778234096754965,14.001324131017018,0.061785522100000004,0.024881388100000002,0.36515179329999997,0.0769818015,13.261027503600001
800,0.2,3.6616441306287917,2.089101475725665,1.5267558446975924,5.321413030240549,3.3594114980459806,0.062330775299999995,0.0285365446,0.4923927131,0.07754544790000001,15.285830636699998
800,1.0,12.282899515036124,1.1206057480623564,1.0486911575379174e-06,4.9227729270260365,14.14995939328657,0.06321858,0.025827209,0.44455736859999995,0.07719742090000001,16.8417708865
900,0.2,3.7345925846642154,2.1948388722910583,1.5474741063097217,5.465902745563232,3.5479264567970525,0.0698735981,0.029160649900000002,0.5018401239,0.07740368389999999,20.7941228061
900,1.0,12.295303042755002,5.606469570980926,1.53912841796991e-06,9.947241070476126,14.222437978836052,0.07202029740000002,0.029014898599999995,0.49707511239999996,0.07740120269999999,20.828621655600003
1000,0.2,3.9203736479895754,2.191361077892424,1.5549209489370663,5.530661998505212,3.4249300850374658,0.082663136,0.0320033205,0.5578762863000001,0.0773849473,24.1860547526
1000,1.0,12.362153159024345,8.934541078534295,-3.017567176068496e-06,8.770918746199893,14.247594032930294,0.0764927286,0.0322494213,0.5610456641999999,0.0773900341,26.605128629400003
2000,0.2,4.263427248964719,2.3496295365643336,1.6051237689363151,6.240980415380621,3.971499776744063,0.1667136374,0.0693943866,1.277108069,0.08560880220000001,107.14328434069998
2000,1.0,12.570724582991089,11.29042355041987,-7.1154962046298e-07,12.690813715275787,14.722200810874558,0.16782635549999997,0.0652236503,1.2648847302,0.0854027087,97.08051946660002
3000,0.2,4.463341073978543,2.4196336172664337,1.6214691142191815,6.408638360129918,4.120839760025261,0.2743302058,0.11166212989999999,2.4018060371999996,0.1467432791,334.94163502870003
3000,1.0,12.706101875194369,11.298925956290484,7.7020292034159,12.803391258982433,14.858469286669992,0.2863383406,0.1167844857,2.4222857152,0.1467765592,258.10502215020006
4000,0.2,4.581799560222738,2.44051625459768,1.6288085061274475,6.570331633765792,4.173139930576923,0.4370580896,0.1674129926,3.4551673248999997,0.22347149360000004,781.1015319753
4000,1.0,12.75351776732144,11.294483660719058,11.008256521285528,12.838354204385855,14.990552396847145,0.4406117234,0.1678992305,3.5226464956,0.2221749776,783.5292641778001
5000,0.2,4.761164941693452,2.460976651116979,1.6368826609716591,6.752676260163463,4.098545329665063,0.7030595282,0.2601797822,5.28070358,0.3297979013,1689.1713518450997
5000,1.0,12.772017417536457,11.30289771640896,10.998122924197892,12.910780760767844,15.05829854123922,0.7371057823000001,0.2508968896,5.2365397045,0.3359831666,1702.5188791202
