num_var,p2,autotune_gap_mean,custom1_gap_mean,custom2_gap_mean,sbm_gap_mean,pa_gap_mean,autotune_runtime_mean,custom1_runtime_mean,custom2_runtime_mean,sbm_runtime_mean,pa_runtime_mean
100,0.2,0.0,0.0,0.0,0.0,0.0,0.041125828100000004,0.1252835268,0.1241698926,0.0784517255,0.004231118300000001
100,0.8,0.0,0.0,0.0,0.0,0.0,0.045152884,0.041036991200000004,0.12888299690000002,0.0788764384,0.0042444914000000005
400,0.2,0.0,0.0,0.0,0.0,0.0,0.044085556500000005,0.0487454635,0.2563374438,0.0816244284,0.0120387605
400,0.8,0.055633789999999995,0.21817334800000002,0.0,0.5470170671583231,0.19106230619549355,0.0455946466,0.043199589999999996,0.25385658590000004,0.0813571442,0.013935489099999998
900,0.2,0.0,0.0,0.0,0.0,0.0,0.0666940277,0.04527018160000001,0.4655229236999999,0.21194756129999998,0.0255790093
900,0.8,0.296099648,0.505805114,0.11131748940000001,0.8892080935543041,0.6300465068578408,0.0675140311,0.0450221753,0.46030720179999995,0.07803278849999999,0.025956723299999995
1600,0.2,0.0,0.0,0.0,0.0,0.0,0.10045125060000001,0.044948872099999995,0.7592079783,0.0799383692,0.0425145358
1600,0.8,0.547908326,0.67250679,0.339933625,1.1578563499666112,1.0056473938902932,0.0942793435,0.0467990649,0.7413063299999999,0.11940621259999999,0.0477716601
2500,0.2,0.0,0.0,0.0,0.0,0.0,0.13011882169999997,0.0604198247,1.171390784,0.1218566584,0.06997865610000001
2500,0.8,0.6707980920000001,0.8310283350000001,0.45774055799999996,1.3510493398573649,1.3021192078592367,0.1296019502,0.05689474229999999,1.1451430813999999,0.12348308649999999,0.07173866939999998
3600,0.2,0.0,0.0,0.0,0.0,0.0,0.166380316,0.063547206,1.6423570948000001,0.20116524679999997,0.0917241885
3600,0.8,0.738404114,0.893006433,0.506681297,1.4800752638725216,1.4337017332437612,0.17015801309999998,0.0627042293,1.6570533348,0.200028724,0.0986825718
4900,0.2,0.0,0.0,0.0,0.0,0.0,0.23410538220000002,0.0804232387,2.253644932,0.3345867382,0.1433661927
4900,0.8,0.8526181780000002,0.909241192,0.623540767,1.5262805104347614,1.5759728434996945,0.2409869466,0.0765836586,2.1405279582,0.3345503998,0.1361617453
6400,0.2,0.0,0.0,0.0,0.0,0.0,0.30933737479999995,0.09117177929999999,2.7658016179000002,0.5125871016,0.15525542490000002
6400,0.8,0.9227881309999999,0.9714872750000001,0.6308001529999999,1.499992286378264,1.604236712550207,0.3007442772,0.0880987391,2.7680915495000002,0.5124975756,0.15895456870000002
8100,0.2,0.0,0.0,0.0,0.0,0.008155386105498973,0.3549346231,0.107499563,3.4780009674,0.7711176931000001,0.21330096210000002
8100,0.8,0.943675934,0.991687156,0.693023756,1.5859713503551007,1.7270887443904388,0.3763567871,0.10522272919999998,3.4541850023,0.7708354716000001,0.20100786299999998
10000,0.2,0.0,0.0,0.0,0.0,0.02002557617295842,0.4424848817000001,0.12214045479999999,4.559151159000001,1.0754106584,0.28502927860000005
10000,0.8,0.970966429,1.050764311,0.7135233750000001,1.637898564933599,1.7898792558977703,0.44520410019999995,0.12566515990000002,4.288048026099999,1.0754386566999998,0.29600226910000005
22500,0.2,0.00073768073,0.0,0.0,0.01479388690242361,0.07109179178997639,0.9404886776,0.2508246031,9.554184418499998,5.06390982,0.6778929065
22500,0.8,1.07928731,1.10447322,0.815768461,1.733680193734261,1.9533391428527889,0.9680776950999999,0.24640918270000003,9.572215752099998,5.063215416,0.6689007698999999
40000,0.2,0.00540881128,0.00166386932,0.0,0.022900320781969907,0.09324929292932467,1.6311839282,0.4171300110999999,16.7972815396,15.1775381014,1.1811306351
40000,0.8,1.1262818600000002,1.1495972,0.864302004,1.7991419357018195,2.050886046018453,1.6866445501,0.40024495269999993,16.7794999969,15.170434414799999,1.1910621104
62500,0.2,0.0106693094,0.00506738391,0.0,0.02693540692231064,0.12029122749594068,2.543858653,0.6029407785,26.2589003871,37.726587151699995,1.9014339372999998
62500,0.8,1.14979248,1.1647274499999998,0.886134206,1.812092554462167,2.12698820696451,2.6176180682999997,0.6122321475000001,26.2538800831,37.8888952513,1.8964067857
90000,0.2,0.01221405503,0.006661376370000001,0.0,0.03256909361135162,0.12473175940384684,3.6575010867000004,0.873793502,37.70388519270001,73.1034480996,2.5971774569
90000,0.8,1.17019506,1.1745173899999999,0.9047150110000001,1.8346216751711097,2.142324728875532,3.7903173783999997,0.8820046255999999,37.7511653942,72.98508683540001,2.5741645634
