instance	dwave_energy	cplex_energy	gap
randomIsingDWaveZephyr_4_dense_3	-419.0322834819141	-419.1028514966433	0.016837875112813944
randomIsingDWaveZephyr_4_dense_4	-400.5426967095905	-400.7938789898374	0.06267118671573325
randomIsingDWaveZephyr_4_dense_5	-412.76101240328416	-412.82165568506605	0.014689946844299355
randomIsingDWaveZephyr_4_dense_6	-402.5328153466854	-402.6532290117028	0.029905053863083588
randomIsingDWaveZephyr_4_dense_7	-406.82210722459945	-407.0028343290333	0.04440438473402647
randomIsingDWaveZephyr_4_dense_8	-404.39314056411126	-404.58258468532927	0.046824586225169815
randomIsingDWaveZephyr_4_dense_9	-416.0186962039752	-416.0291261223723	0.002507016394337748
randomIsingDWaveZephyr_5_dense_1	-627.6125876871881	-626.2664801897986	-0.21494164863838525
randomIsingDWaveZephyr_5_dense_10	-624.2927448992228	-619.3064332203077	-0.8051444989820373
randomIsingDWaveZephyr_5_dense_11	-650.3064122815018	-647.8371880502857	-0.3811488869058955
randomIsingDWaveZephyr_5_dense_12	-661.2999759561733	-660.2464040481682	-0.15957253254926226
randomIsingDWaveZephyr_5_dense_13	-642.3916011294904	-642.5137948209094	0.019018065044520333
randomIsingDWaveZephyr_5_dense_14	-632.322237932742	-629.2379669999978	-0.4901597002242396
randomIsingDWaveZephyr_5_dense_15	-632.0478663023467	-631.2001602361029	-0.1343006734863266
randomIsingDWaveZephyr_5_dense_16	-621.7506164758657	-620.7417956469665	-0.16251859242824687
randomIsingDWaveZephyr_5_dense_17	-634.0210381571382	-633.6959792265571	-0.051295722434242234
randomIsingDWaveZephyr_5_dense_18	-639.0130657410508	-638.1282791246425	-0.13865340956555075
randomIsingDWaveZephyr_5_dense_19	-645.1204035495704	-644.25576268752	-0.13420770323318362
randomIsingDWaveZephyr_5_dense_2	-648.6387319596673	-648.23844803658	-0.061749488062560025
randomIsingDWaveZephyr_5_dense_20	-655.4448192711118	-655.56513350138	0.01835275003502155
randomIsingDWaveZephyr_5_dense_3	-635.4644121978602	-632.2862057493204	-0.5026531370826399
randomIsingDWaveZephyr_5_dense_4	-651.8878267409413	-650.4639571370143	-0.2189006152153385
randomIsingDWaveZephyr_5_dense_5	-646.7503479252821	-644.925124188904	-0.2830132782737577
randomIsingDWaveZephyr_5_dense_6	-650.9575872900601	-650.220106062098	-0.11342024355852345
randomIsingDWaveZephyr_5_dense_7	-640.0337944290959	-638.5539807976463	-0.23174448456199215
randomIsingDWaveZephyr_5_dense_8	-638.6089019409711	-636.8124308626328	-0.282103644852658
randomIsingDWaveZephyr_5_dense_9	-652.5630014654295	-652.6030195631955	0.006132073644531451
randomIsingDWaveZephyr_6_dense_1	-914.8580295588768	-913.3145853803554	-0.16899370745059875
randomIsingDWaveZephyr_6_dense_10	-914.3250879746541	-905.1528411071014	-1.013336803576078
randomIsingDWaveZephyr_6_dense_11	-922.4226579255146	-914.7980801445608	-0.8334711174458238
randomIsingDWaveZephyr_6_dense_12	-916.8908563202463	-909.2043789978046	-0.8454069843915927
randomIsingDWaveZephyr_6_dense_13	-883.6850469040297	-867.4352779956058	-1.8733119715827629
randomIsingDWaveZephyr_6_dense_14	-899.1593663272744	-889.672565664272	-1.0663249637150527
randomIsingDWaveZephyr_6_dense_15	-921.0260122869158	-909.2156442760736	-1.2989622522658826
randomIsingDWaveZephyr_6_dense_16	-904.4301693194877	-895.45432460601	-1.0023788446637967
randomIsingDWaveZephyr_6_dense_17	-909.4035992138353	-905.4519689612523	-0.43642626975744797
randomIsingDWaveZephyr_6_dense_18	-893.0165228519401	-880.6594570014437	-1.4031605238841063
randomIsingDWaveZephyr_6_dense_19	-901.9937768346492	-891.3466854409014	-1.194494977953642
randomIsingDWaveZephyr_6_dense_2	-941.0641101663776	-939.6498781939608	-0.15050626890252108
randomIsingDWaveZephyr_6_dense_20	-883.3015297735287	-867.8196210362701	-1.784000771816106
randomIsingDWaveZephyr_6_dense_3	-908.356641272024	-890.7451738164167	-1.9771611425241444
randomIsingDWaveZephyr_6_dense_4	-897.1601577283759	-886.8308992945059	-1.16473822034022
randomIsingDWaveZephyr_6_dense_5	-900.7221762135185	-897.4442229405845	-0.36525426195217253
randomIsingDWaveZephyr_6_dense_6	-917.0780700077185	-909.596286907296	-0.8225388788537366
randomIsingDWaveZephyr_6_dense_7	-924.1085268556021	-915.6409858583997	-0.9247664890474714
randomIsingDWaveZephyr_6_dense_8	-888.8273276690197	-878.2385881670848	-1.2056791451209177
randomIsingDWaveZephyr_6_dense_9	-889.257286201673	-881.5441972606166	-0.8749520404109861
