instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWaveZephyr_3_dense_6.h5,327,-237.23311,-237.29485,0.026017025,0.001990957,0.001175557
randomIsingDWaveZephyr_3_dense_7.h5,957,-228.33386,-228.33386,0.0,0.003378014,0.006977349
randomIsingDWaveZephyr_3_dense_8.h5,327,-242.10214,-242.12376,0.008930022,0.001995172,0.001191079
randomIsingDWaveZephyr_3_dense_9.h5,327,-243.91164,-243.91164,0.0,0.001989164,0.001184924
randomIsingDWaveZephyr_4_dense_1.h5,563,-405.38315,-405.66257,0.06887965,0.002231533,0.002762986
randomIsingDWaveZephyr_4_dense_10.h5,563,-427.76227,-427.7953,0.007718649,0.002472372,0.003446082
randomIsingDWaveZephyr_4_dense_11.h5,563,-421.36478,-421.87256,0.12036384,0.002458365,0.003463292
randomIsingDWaveZephyr_4_dense_12.h5,563,-414.87302,-415.17712,0.07324769,0.002454927,0.003463772
randomIsingDWaveZephyr_4_dense_13.h5,563,-404.6972,-405.1738,0.11762681,0.002472348,0.003479568
randomIsingDWaveZephyr_4_dense_14.h5,563,-403.37323,-403.95224,0.14333625,0.002433519,0.003217501
randomIsingDWaveZephyr_4_dense_15.h5,563,-418.72748,-418.9399,0.050707236,0.002331463,0.00324911
randomIsingDWaveZephyr_4_dense_16.h5,563,-423.80396,-424.00052,0.04635931,0.002437028,0.003206813
randomIsingDWaveZephyr_4_dense_17.h5,563,-410.29504,-410.69376,0.09708259,0.002410382,0.003139598
randomIsingDWaveZephyr_4_dense_18.h5,563,-412.01453,-413.40018,0.33518386,0.00244706,0.003490723
randomIsingDWaveZephyr_4_dense_19.h5,563,-418.0589,-418.44012,0.09110636,0.002207497,0.002715417
randomIsingDWaveZephyr_4_dense_2.h5,563,-415.75604,-415.88983,0.032169353,0.002219109,0.002706041
randomIsingDWaveZephyr_4_dense_20.h5,563,-397.26794,-397.38715,0.029996354,0.002190671,0.00268839
randomIsingDWaveZephyr_4_dense_3.h5,563,-418.9037,-419.10284,0.047520008,0.002196447,0.002729343
randomIsingDWaveZephyr_4_dense_4.h5,563,-400.36176,-400.79388,0.10781824,0.002454681,0.003191149
randomIsingDWaveZephyr_4_dense_5.h5,563,-412.7388,-412.82166,0.020070463,0.002225127,0.002807518
randomIsingDWaveZephyr_4_dense_6.h5,563,-402.35254,-402.65323,0.07467709,0.002230782,0.002706298
randomIsingDWaveZephyr_4_dense_7.h5,563,-406.77997,-407.00284,0.0547588,0.002349383,0.002716368
randomIsingDWaveZephyr_4_dense_8.h5,563,-404.23236,-404.58258,0.08656323,0.002355909,0.002697295
randomIsingDWaveZephyr_4_dense_9.h5,563,-415.63025,-416.0291,0.09587424,0.002348048,0.002695371
randomIsingDWaveZephyr_5_dense_1.h5,859,-626.89417,-626.2665,-0.100226596,0.002625226,0.00661456
randomIsingDWaveZephyr_5_dense_10.h5,859,-622.9114,-619.30646,-0.5820897,0.002891901,0.006417089
randomIsingDWaveZephyr_5_dense_11.h5,859,-650.47235,-647.83716,-0.4067678,0.003023845,0.006222339
randomIsingDWaveZephyr_5_dense_12.h5,859,-661.1732,-660.2464,-0.14037469,0.002583789,0.005744809
randomIsingDWaveZephyr_5_dense_13.h5,859,-642.2872,-642.5138,0.035271388,0.002598669,0.005622497
randomIsingDWaveZephyr_5_dense_14.h5,859,-632.40894,-629.238,-0.50393647,0.002570386,0.005726265
randomIsingDWaveZephyr_5_dense_15.h5,859,-632.1239,-631.20013,-0.1463509,0.003056132,0.005691306
randomIsingDWaveZephyr_5_dense_16.h5,859,-621.59955,-620.7418,-0.13817775,0.002872599,0.006134179
randomIsingDWaveZephyr_5_dense_17.h5,859,-634.086,-633.696,-0.061546016,0.002566291,0.006401042
randomIsingDWaveZephyr_5_dense_18.h5,859,-638.8742,-638.1283,-0.116890386,0.002593379,0.005773665
randomIsingDWaveZephyr_5_dense_19.h5,859,-644.9577,-644.25574,-0.10895756,0.002623057,0.005704893
randomIsingDWaveZephyr_5_dense_2.h5,859,-648.2946,-648.23846,-0.008662297,0.009507375,0.006297217
randomIsingDWaveZephyr_5_dense_20.h5,859,-655.0383,-655.5651,0.0803573,0.002607448,0.00571867
randomIsingDWaveZephyr_5_dense_3.h5,859,-635.3733,-632.2862,-0.48824364,0.00259,0.005701397
randomIsingDWaveZephyr_5_dense_4.h5,859,-651.3868,-650.4639,-0.1418759,0.002575829,0.00568899
randomIsingDWaveZephyr_5_dense_5.h5,859,-646.025,-644.9251,-0.17054918,0.002573429,0.005697828
randomIsingDWaveZephyr_5_dense_6.h5,859,-650.87463,-650.2201,-0.100664526,0.002578244,0.005994307
