instance,size,density,velox_energy,runtime_velox
randomIsingDWaveZephyr_250_sparse_1.h5,2004000,9.958115704718308e-6,-1.5893149e6,2.503982225
randomIsingDWaveZephyr_500_sparse_1.h5,8008000,2.4947572407612367e-6,-6.354221e6,9.809130707
randomIsingDWaveZephyr_750_sparse_1.h5,18012000,1.1095569864372009e-6,-1.4292844e7,22.563702305
randomIsingDWaveZephyr_1000_sparse_1.h5,32016000,6.243442028361131e-7,-2.5406284e7,41.661286779
randomIsingDWaveZephyr_1250_sparse_1.h5,50020000,3.9966418550532605e-7,-3.969588e7,76.080585182
randomIsingDWaveZephyr_1500_sparse_1.h5,72024000,2.7758342280145575e-7,-5.71624e7,120.292985537
randomIsingDWaveZephyr_1750_sparse_1.h5,98028000,2.0395923196906662e-7,-7.780152e7,175.724994692
