instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWaveZephyr_3_dense_6.h5,327,-237.29485,-237.29485,0.0,0.04627533,0.001392566
randomIsingDWaveZephyr_3_dense_7.h5,957,-228.33386,-228.33386,0.0,0.07826995,0.0094229
randomIsingDWaveZephyr_3_dense_8.h5,327,-242.12376,-242.12376,0.0,0.054548051,0.001594871
randomIsingDWaveZephyr_3_dense_9.h5,327,-243.91164,-243.91164,0.0,0.054367035,0.001556441
randomIsingDWaveZephyr_4_dense_1.h5,563,-405.66254,-405.66257,7.5228977e-6,0.057715684,0.00413954
randomIsingDWaveZephyr_4_dense_10.h5,563,-427.7953,-427.7953,0.0,0.502168894,0.003948715
randomIsingDWaveZephyr_4_dense_11.h5,563,-421.87256,-421.87256,0.0,0.054622249,0.003063219
randomIsingDWaveZephyr_4_dense_12.h5,563,-415.17712,-415.17712,0.0,0.054813825,0.004206945
randomIsingDWaveZephyr_4_dense_13.h5,563,-405.17383,-405.1738,-7.5319726e-6,0.05549514,0.004284847
randomIsingDWaveZephyr_4_dense_14.h5,563,-403.9522,-403.95224,7.554749e-6,0.055369644,0.004134941
randomIsingDWaveZephyr_4_dense_15.h5,563,-418.93994,-418.9399,-7.2844764e-6,0.059948038,0.004137436
randomIsingDWaveZephyr_4_dense_16.h5,563,-424.00052,-424.00052,0.0,0.061073711,0.004110709
randomIsingDWaveZephyr_4_dense_17.h5,563,-410.69376,-410.69376,0.0,0.0608236,0.004087009
randomIsingDWaveZephyr_4_dense_18.h5,563,-413.40018,-413.40018,0.0,0.071849257,0.004017225
randomIsingDWaveZephyr_4_dense_19.h5,563,-418.44012,-418.44012,0.0,0.062539511,0.003993843
randomIsingDWaveZephyr_4_dense_2.h5,563,-415.88983,-415.88983,0.0,0.060106557,0.003956852
randomIsingDWaveZephyr_4_dense_20.h5,563,-397.38715,-397.38715,0.0,0.057875699,0.003324961
randomIsingDWaveZephyr_4_dense_3.h5,563,-419.10284,-419.10284,0.0,0.06181351,0.003578173
randomIsingDWaveZephyr_4_dense_4.h5,563,-400.79388,-400.79388,0.0,0.057569178,0.003127959
randomIsingDWaveZephyr_4_dense_5.h5,563,-412.82166,-412.82166,0.0,0.060871334,0.003510111
randomIsingDWaveZephyr_4_dense_6.h5,563,-402.65323,-402.65323,0.0,0.057750785,0.004040656
randomIsingDWaveZephyr_4_dense_7.h5,563,-407.00287,-407.00284,-7.4981244e-6,0.057999195,0.003438165
randomIsingDWaveZephyr_4_dense_8.h5,563,-404.58258,-404.58258,0.0,0.070653377,0.003102907
randomIsingDWaveZephyr_4_dense_9.h5,563,-416.02914,-416.0291,-7.3354427e-6,0.071344352,0.003794376
randomIsingDWaveZephyr_5_dense_1.h5,859,-628.0404,-626.2665,-0.28325415,0.06994567,0.006548515
